time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1018,0.000,0.000,0.07,49.61,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.2056,0.000,39968.982,52.41,65.91,0.00,0.000,1592.188,59.77,0.000,1187.823,53.02,0.000,1531.534,57.84,0.000,1617.461,58.81,0.000,1010.913,24.10,0.000,1223.205,49.17,0.000,1493.624,55.92,0.000,1708.443,72.31,0.000,1574.497,58.81,0.000,1579.552,65.56,0.000,1415.279,56.88,0.000,1238.369,39.53,0.000,1334.405,57.84,0.000,1367.260,58.81,0.000,1496.152,57.84,0.000,1488.570,46.28,0.000,889.604,29.89,0.000,1617.461,61.70,0.000,1240.896,53.02,0.000,1172.659,51.10,0.000,1435.497,53.99,0.000,1496.152,58.81,0.000,1334.405,53.99,0.000,965.422,43.38,0.000,1496.152,58.81,0.000,849.167,39.53,0.000,1293.969,53.02,0.000,1132.223,48.20,0.000,1134.750,51.10,0.000,1051.350,43.38
0.3106,0.000,37219.264,32.80,13.96,0.00,0.000,1023.811,27.62,0.000,1063.764,29.53,0.000,1523.231,40.01,0.000,1398.376,36.20,0.000,1278.515,24.77,0.000,1348.434,38.10,0.000,1161.151,30.48,0.000,1228.573,43.82,0.000,1201.105,36.20,0.000,1595.646,57.15,0.000,1158.654,31.43,0.000,1453.312,30.48,0.000,1238.561,27.62,0.000,1046.285,26.67,0.000,1158.654,32.39,0.000,1485.774,31.43,0.000,1238.561,28.58,0.000,878.979,24.77,0.000,1011.325,31.43,0.000,1598.143,36.20,0.000,1098.724,26.67,0.000,958.886,25.72,0.000,998.840,28.58,0.000,1483.277,38.10,0.000,1238.561,33.34,0.000,1118.700,30.48,0.000,1238.561,31.43,0.000,1358.422,36.20,0.000,1315.971,34.29,0.000,1318.468,34.29
0.4125,0.000,0.000,0.00,1.15,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.5141,0.000,10573.113,7.78,5.12,0.00,0.000,413.012,7.88,0.000,330.410,4.92,0.000,371.711,7.88,0.000,330.410,7.88,0.000,247.807,3.94,0.000,289.109,4.92,0.000,413.012,10.83,0.000,495.615,16.74,0.000,330.410,7.88,0.000,247.807,9.85,0.000,330.410,7.88,0.000,371.711,6.89,0.000,247.807,7.88,0.000,495.615,8.86,0.000,82.602,2.95,0.000,247.807,5.91,0.000,413.012,4.92,0.000,165.205,3.94,0.000,289.109,6.89,0.000,454.313,7.88,0.000,289.109,6.89,0.000,330.410,8.86,0.000,454.313,9.85,0.000,454.313,9.85,0.000,495.615,9.85,0.000,536.916,9.85,0.000,289.109,6.89,0.000,454.313,8.86,0.000,413.012,9.85,0.000,289.109,5.91
0.6166,0.000,11786.028,7.09,12.15,0.00,0.000,368.313,6.83,0.000,245.542,4.88,0.000,368.313,6.83,0.000,368.313,4.88,0.000,450.161,5.85,0.000,491.084,6.83,0.000,286.466,5.85,0.000,532.008,17.56,0.000,450.161,7.81,0.000,327.390,9.76,0.000,327.390,3.90,0.000,368.313,3.90,0.000,286.466,2.93,0.000,286.466,4.88,0.000,532.008,7.81,0.000,572.932,9.76,0.000,327.390,6.83,0.000,327.390,5.85,0.000,409.237,8.78,0.000,327.390,4.88,0.000,695.703,12.68,0.000,368.313,5.85,0.000,409.237,6.83,0.000,450.161,7.81,0.000,409.237,6.83,0.000,450.161,12.68,0.000,327.390,5.85,0.000,327.390,4.88,0.000,450.161,6.83,0.000,245.542,5.85
0.7183,0.000,12604.930,7.44,12.12,0.00,0.000,329.743,5.90,0.000,443.092,7.86,0.000,494.614,6.88,0.000,618.268,10.81,0.000,329.743,2.95,0.000,247.307,4.91,0.000,247.307,4.91,0.000,535.832,16.71,0.000,288.525,5.90,0.000,644.029,18.67,0.000,618.268,8.84,0.000,288.525,4.91,0.000,388.993,8.84,0.000,275.644,2.95,0.000,358.080,6.88,0.000,553.865,6.88,0.000,453.396,7.86,0.000,337.471,5.90,0.000,499.766,9.83,0.000,283.373,4.91,0.000,494.614,6.88,0.000,288.525,3.93,0.000,700.703,8.84,0.000,296.253,3.93,0.000,414.754,6.88,0.000,535.832,8.84,0.000,329.743,3.93,0.000,453.396,6.88,0.000,329.743,11.79,0.000,525.527,7.86
0.8219,0.000,13537.650,7.92,11.03,0.00,0.000,607.637,7.73,0.000,293.691,3.86,0.000,445.601,6.76,0.000,364.582,5.79,0.000,283.564,3.86,0.000,648.146,9.66,0.000,526.619,7.73,0.000,324.073,9.66,0.000,364.582,5.79,0.000,582.319,23.18,0.000,405.091,4.83,0.000,445.601,8.69,0.000,306.350,5.79,0.000,498.769,5.79,0.000,377.241,7.73,0.000,387.369,7.73,0.000,486.110,7.73,0.000,438.005,7.73,0.000,481.046,7.73,0.000,734.228,12.56,0.000,607.637,8.69,0.000,486.110,7.73,0.000,526.619,15.45,0.000,438.005,8.69,0.000,443.069,5.79,0.000,607.637,9.66,0.000,324.073,4.83,0.000,445.601,5.79,0.000,405.091,5.79,0.000,253.182,4.83
0.9238,0.000,10532.329,6.41,17.16,0.00,0.000,329.135,4.90,0.000,287.993,4.90,0.000,205.710,9.81,0.000,411.419,5.89,0.000,411.419,8.83,0.000,287.993,5.89,0.000,370.277,7.85,0.000,329.135,10.79,0.000,617.129,20.60,0.000,246.851,7.85,0.000,370.277,5.89,0.000,287.993,6.87,0.000,411.419,4.90,0.000,246.851,2.94,0.000,370.277,4.90,0.000,617.129,9.81,0.000,411.419,8.83,0.000,164.568,0.00,0.000,246.851,3.92,0.000,41.142,0.98,0.000,205.710,3.92,0.000,370.277,5.89,0.000,534.845,6.87,0.000,658.271,9.81,0.000,164.568,2.94,0.000,658.271,8.83,0.000,246.851,4.90,0.000,370.277,6.87,0.000,287.993,3.92,0.000,370.277,1.96
1.0263,0.000,22257.664,13.23,15.54,0.00,0.000,941.041,12.68,0.000,900.126,12.68,0.000,531.893,9.75,0.000,1104.700,18.53,0.000,654.637,10.73,0.000,736.467,14.63,0.000,572.808,11.71,0.000,654.637,19.51,0.000,450.063,11.71,0.000,900.126,28.29,0.000,245.489,4.88,0.000,777.382,13.66,0.000,777.382,9.75,0.000,777.382,11.71,0.000,613.722,10.73,0.000,531.893,8.78,0.000,777.382,11.71,0.000,695.552,13.66,0.000,490.978,11.71,0.000,654.637,10.73,0.000,450.063,7.80,0.000,572.808,7.80,0.000,859.211,12.68,0.000,1145.615,19.51,0.000,613.722,9.75,0.000,981.956,16.58,0.000,941.041,14.63,0.000,859.211,13.66,0.000,1104.700,17.56,0.000,941.041,19.51
