time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1019,0.000,0.442,0.07,77.04,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.442,1.96,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.2046,0.000,399.274,0.94,84.37,0.00,0.000,0.000,0.97,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.841,1.95,0.000,40.841,1.95,0.000,0.000,0.00,0.000,0.000,0.97,0.000,53.404,3.89,0.000,0.000,0.97,0.000,22.973,0.97,0.000,40.841,2.92,0.000,0.000,0.00,0.000,37.012,1.95,0.000,40.841,1.95,0.000,0.000,0.00,0.000,0.000,0.97,0.000,81.681,2.92,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.97,0.000,0.000,0.00,0.000,0.000,0.97,0.000,40.841,2.92,0.000,0.000,0.97,0.000,0.000,0.00,0.000,0.000,0.00
0.3074,0.000,32138.563,20.84,70.45,0.00,0.000,1468.075,29.17,0.000,1101.057,16.53,0.000,978.717,18.47,0.000,652.478,12.64,0.000,937.937,17.50,0.000,1060.277,22.36,0.000,937.937,20.42,0.000,937.937,46.67,0.000,1101.057,19.45,0.000,774.818,34.03,0.000,1264.176,24.31,0.000,1251.632,22.36,0.000,734.038,9.72,0.000,996.558,15.56,0.000,1101.057,20.42,0.000,1427.296,27.22,0.000,1064.100,20.42,0.000,856.377,13.61,0.000,1060.277,18.47,0.000,856.377,12.64,0.000,1223.396,19.45,0.000,1141.836,17.50,0.000,1304.956,21.39,0.000,1508.855,24.31,0.000,856.377,15.56,0.000,1427.296,29.17,0.000,815.597,14.58,0.000,973.620,16.53,0.000,978.717,21.39,0.000,1345.736,23.33
0.4102,0.000,8647.785,5.35,82.14,0.00,0.000,318.777,10.70,0.000,244.821,3.89,0.000,326.428,4.86,0.000,237.170,3.89,0.000,163.214,1.95,0.000,408.035,7.78,0.000,163.214,1.95,0.000,204.017,5.84,0.000,244.821,4.86,0.000,285.624,9.73,0.000,285.624,4.86,0.000,326.428,6.81,0.000,300.926,4.86,0.000,137.712,3.89,0.000,367.231,4.86,0.000,204.017,3.89,0.000,367.231,8.76,0.000,367.231,5.84,0.000,285.624,6.81,0.000,181.065,3.89,0.000,408.035,4.86,0.000,326.428,6.81,0.000,326.428,4.86,0.000,163.214,1.95,0.000,285.624,3.89,0.000,285.624,2.92,0.000,448.838,12.65,0.000,249.921,1.95,0.000,408.035,5.84,0.000,326.428,4.86
0.5127,0.000,8439.846,5.04,43.62,0.00,0.000,457.936,6.83,0.000,409.329,7.81,0.000,491.194,7.81,0.000,294.205,5.86,0.000,122.799,2.93,0.000,409.329,6.83,0.000,163.731,1.95,0.000,204.664,6.83,0.000,327.463,5.86,0.000,327.463,7.81,0.000,327.463,5.86,0.000,204.664,2.93,0.000,475.845,7.81,0.000,66.516,1.95,0.000,327.463,6.83,0.000,327.463,5.86,0.000,204.664,2.93,0.000,163.731,2.93,0.000,286.530,3.90,0.000,432.353,7.81,0.000,286.530,5.86,0.000,286.530,5.86,0.000,40.933,0.98,0.000,409.329,9.76,0.000,122.799,0.98,0.000,327.463,4.88,0.000,122.799,0.98,0.000,204.664,2.93,0.000,286.530,3.90,0.000,327.463,5.86
0.6145,0.000,28886.353,20.88,29.79,0.00,0.000,741.402,12.77,0.000,700.213,19.64,0.000,947.347,23.57,0.000,535.457,10.80,0.000,864.969,12.77,0.000,1153.292,21.60,0.000,1153.292,23.57,0.000,1001.407,69.72,0.000,1070.914,19.64,0.000,906.158,54.01,0.000,947.347,14.73,0.000,823.780,13.75,0.000,823.780,17.68,0.000,823.780,16.69,0.000,1318.048,21.60,0.000,906.158,12.77,0.000,947.347,13.75,0.000,1070.914,20.62,0.000,864.969,15.71,0.000,1153.292,19.64,0.000,741.402,10.80,0.000,741.402,27.50,0.000,906.158,15.71,0.000,906.158,16.69,0.000,1276.859,19.64,0.000,1359.237,22.59,0.000,700.213,12.77,0.000,1235.670,22.59,0.000,906.158,18.66,0.000,1359.237,24.55
0.7163,0.000,4065.650,2.36,20.15,0.00,0.000,164.789,1.96,0.000,82.394,1.96,0.000,164.789,1.96,0.000,247.183,2.95,0.000,247.183,0.98,0.000,41.197,0.98,0.000,123.592,0.98,0.000,357.901,15.72,0.000,205.986,2.95,0.000,82.394,1.96,0.000,82.394,0.98,0.000,82.394,0.00,0.000,205.986,2.95,0.000,288.380,4.91,0.000,164.789,1.96,0.000,41.197,1.96,0.000,123.592,0.98,0.000,205.986,2.95,0.000,164.789,3.93,0.000,82.394,1.96,0.000,82.394,1.96,0.000,288.380,4.91,0.000,82.394,1.96,0.000,82.394,1.96,0.000,41.197,0.00,0.000,82.394,0.98,0.000,82.394,0.98,0.000,41.197,0.00,0.000,82.394,1.96,0.000,41.197,0.98
0.8181,0.000,7908.566,5.07,25.95,0.00,0.000,370.714,7.86,0.000,247.143,2.95,0.000,82.381,1.96,0.000,205.952,5.89,0.000,123.571,1.96,0.000,205.952,2.95,0.000,82.381,0.98,0.000,205.952,5.89,0.000,370.714,5.89,0.000,288.333,12.77,0.000,247.143,7.86,0.000,370.714,6.87,0.000,288.333,4.91,0.000,164.762,2.95,0.000,247.143,3.93,0.000,123.571,2.95,0.000,370.714,7.86,0.000,288.333,4.91,0.000,247.143,4.91,0.000,247.143,4.91,0.000,288.333,2.95,0.000,288.333,4.91,0.000,370.714,6.87,0.000,370.714,5.89,0.000,329.524,4.91,0.000,164.762,1.96,0.000,123.571,2.95,0.000,329.524,4.91,0.000,453.095,7.86,0.000,411.904,7.86
0.9204,0.000,5252.363,3.16,20.51,0.00,0.000,41.034,0.00,0.000,164.135,3.91,0.000,164.135,1.96,0.000,205.169,4.89,0.000,164.135,3.91,0.000,287.236,3.91,0.000,205.169,4.89,0.000,246.203,6.85,0.000,287.236,3.91,0.000,123.101,2.93,0.000,82.068,0.98,0.000,246.203,3.91,0.000,82.068,1.96,0.000,164.135,1.96,0.000,287.236,5.87,0.000,205.169,2.93,0.000,41.034,0.00,0.000,164.135,2.93,0.000,123.101,0.98,0.000,246.203,3.91,0.000,328.270,5.87,0.000,82.068,2.93,0.000,164.175,3.91,0.000,123.101,1.96,0.000,246.203,5.87,0.000,246.203,3.91,0.000,164.135,2.93,0.000,123.101,0.98,0.000,205.169,2.93,0.000,41.034,0.98
1.0226,0.000,2906.732,2.51,33.68,0.00,0.000,164.118,2.93,0.000,41.030,0.98,0.000,41.030,1.96,0.000,287.207,6.85,0.000,82.059,2.93,0.000,82.059,2.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.030,1.96,0.000,0.000,0.00,0.000,0.000,0.00,0.000,171.811,2.93,0.000,82.059,2.93,0.000,41.030,0.98,0.000,82.059,1.96,0.000,161.314,3.91,0.000,205.148,4.89,0.000,123.089,1.96,0.000,123.089,3.91,0.000,205.148,2.93,0.000,41.030,1.96,0.000,41.030,0.98,0.000,82.059,1.96,0.000,164.118,4.89,0.000,191.325,4.89,0.000,43.594,1.96,0.000,82.059,2.93,0.000,41.030,0.98,0.000,41.030,1.96,0.000,246.178,5.87
