time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1025,0.000,1.164,2.05,82.77,0.00,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,2.93,0.000,0.040,1.95,0.000,0.050,2.93,0.000,0.040,2.93,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,2.93,0.000,0.040,2.93,0.000,0.040,1.95,0.000,0.035,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.000,0.00,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95,0.000,0.040,1.95
0.2056,0.000,4140.787,3.33,94.83,0.00,0.000,122.112,2.91,0.000,122.112,3.88,0.000,203.520,2.91,0.000,203.520,3.88,0.000,203.520,4.85,0.000,81.408,1.94,0.000,122.112,3.88,0.000,122.112,2.91,0.000,203.520,5.82,0.000,81.408,2.91,0.000,162.816,3.88,0.000,162.816,3.88,0.000,81.408,2.91,0.000,236.591,4.85,0.000,127.200,1.94,0.000,81.408,1.94,0.000,203.520,4.85,0.000,122.112,3.88,0.000,81.408,2.91,0.000,0.000,0.00,0.000,81.408,1.94,0.000,203.520,4.85,0.000,203.520,3.88,0.000,0.000,0.00,0.000,122.112,2.91,0.000,122.112,2.91,0.000,81.408,2.91,0.000,154.349,3.88,0.000,284.927,5.82,0.000,162.816,3.88
0.3082,0.000,32758.408,20.03,65.45,0.00,0.000,1021.293,21.43,0.000,1470.662,34.09,0.000,1176.641,20.45,0.000,898.738,17.53,0.000,1021.293,18.51,0.000,1021.293,26.30,0.000,1225.551,22.40,0.000,1062.145,17.53,0.000,898.738,15.58,0.000,1350.660,20.45,0.000,939.589,16.56,0.000,1388.958,22.40,0.000,1021.293,20.45,0.000,906.397,11.69,0.000,842.567,18.51,0.000,776.183,12.66,0.000,1266.403,21.43,0.000,817.034,14.61,0.000,1225.551,21.43,0.000,857.886,16.56,0.000,1388.958,26.30,0.000,1388.958,25.32,0.000,857.886,12.66,0.000,1143.848,23.38,0.000,817.034,16.56,0.000,1021.293,18.51,0.000,1307.255,22.40,0.000,825.532,15.58,0.000,1674.920,30.19,0.000,1143.848,19.48
0.4111,0.000,4852.288,3.60,78.45,0.00,0.000,45.889,0.97,0.000,122.370,2.92,0.000,189.052,3.89,0.000,81.580,2.92,0.000,56.086,1.95,0.000,81.580,2.92,0.000,367.109,7.78,0.000,122.370,2.92,0.000,163.160,2.92,0.000,364.560,7.78,0.000,81.580,0.97,0.000,163.160,3.89,0.000,285.529,5.84,0.000,114.722,2.92,0.000,91.777,0.00,0.000,203.950,2.92,0.000,163.160,1.95,0.000,224.345,6.81,0.000,203.950,2.92,0.000,237.530,3.89,0.000,191.203,5.84,0.000,122.370,1.95,0.000,203.950,5.84,0.000,163.160,4.86,0.000,186.104,2.92,0.000,203.950,4.86,0.000,40.790,0.97,0.000,132.567,2.92,0.000,81.580,4.86,0.000,163.160,3.89
0.5152,0.000,32257.866,18.85,40.41,0.00,0.000,996.823,15.36,0.000,1127.719,20.17,0.000,1029.547,21.13,0.000,1006.892,19.20,0.000,1313.994,18.24,0.000,926.341,15.36,0.000,1170.512,20.17,0.000,966.616,14.40,0.000,1611.027,27.85,0.000,966.616,15.36,0.000,1208.270,22.09,0.000,926.341,15.36,0.000,1127.719,22.09,0.000,813.065,14.40,0.000,1009.409,20.17,0.000,1047.168,16.32,0.000,805.514,13.44,0.000,1324.063,23.05,0.000,1218.339,22.09,0.000,1014.011,16.32,0.000,996.823,14.40,0.000,1329.097,23.05,0.000,1047.168,18.24,0.000,1087.443,20.17,0.000,1306.442,21.13,0.000,903.685,16.32,0.000,1087.443,22.09,0.000,1037.099,18.24,0.000,926.341,18.24,0.000,926.341,21.13
0.6180,0.000,14390.056,9.28,31.26,0.00,0.000,576.623,5.84,0.000,449.051,7.79,0.000,449.051,5.84,0.000,367.406,54.50,0.000,326.583,2.92,0.000,571.520,10.71,0.000,487.323,8.76,0.000,449.051,6.81,0.000,530.697,8.76,0.000,530.697,7.79,0.000,449.051,6.81,0.000,612.343,8.76,0.000,367.406,5.84,0.000,489.874,9.73,0.000,568.969,15.57,0.000,449.051,5.84,0.000,612.343,7.79,0.000,392.920,6.81,0.000,275.554,5.84,0.000,530.697,6.81,0.000,349.546,6.81,0.000,204.114,1.95,0.000,449.051,5.84,0.000,898.103,13.63,0.000,449.051,5.84,0.000,635.306,9.73,0.000,408.229,4.87,0.000,693.989,11.68,0.000,326.583,10.71,0.000,489.874,7.79
0.7198,0.000,8176.032,5.14,24.03,0.00,0.000,370.468,6.87,0.000,41.163,1.96,0.000,246.979,4.91,0.000,329.305,5.89,0.000,41.163,1.96,0.000,288.142,5.89,0.000,411.632,7.85,0.000,205.816,2.94,0.000,324.160,4.91,0.000,164.653,2.94,0.000,41.163,1.96,0.000,452.795,6.87,0.000,416.777,7.85,0.000,288.142,6.87,0.000,529.976,8.83,0.000,288.142,3.93,0.000,169.798,2.94,0.000,288.142,5.89,0.000,370.468,7.85,0.000,123.489,1.96,0.000,246.979,4.91,0.000,288.142,4.91,0.000,205.816,4.91,0.000,246.979,3.93,0.000,288.142,3.93,0.000,123.489,2.94,0.000,437.359,8.83,0.000,493.958,8.83,0.000,288.142,6.87,0.000,164.653,2.94
0.8221,0.000,10884.050,5.80,30.53,0.00,0.000,246.073,2.93,0.000,615.183,8.80,0.000,246.073,0.98,0.000,246.073,3.91,0.000,533.158,7.82,0.000,328.097,4.89,0.000,574.171,8.80,0.000,574.171,7.82,0.000,497.273,5.87,0.000,369.110,6.84,0.000,533.158,8.80,0.000,246.073,3.91,0.000,404.995,7.82,0.000,246.073,2.93,0.000,456.261,6.84,0.000,123.037,1.96,0.000,363.983,6.84,0.000,369.110,6.84,0.000,246.073,3.91,0.000,410.122,8.80,0.000,410.122,6.84,0.000,441.322,8.80,0.000,410.122,4.89,0.000,328.097,5.87,0.000,205.061,3.91,0.000,287.085,4.89,0.000,435.754,8.80,0.000,410.122,6.84,0.000,123.037,2.93,0.000,205.061,2.93
0.9246,0.000,12438.186,6.67,30.73,0.00,0.000,368.249,5.85,0.000,409.165,5.85,0.000,204.583,3.90,0.000,450.082,4.88,0.000,368.249,6.83,0.000,613.748,10.73,0.000,450.082,5.85,0.000,409.165,6.83,0.000,409.165,4.88,0.000,490.998,9.76,0.000,531.915,7.80,0.000,163.666,1.95,0.000,409.165,3.90,0.000,490.998,9.76,0.000,163.666,1.95,0.000,245.499,3.90,0.000,409.165,7.80,0.000,450.082,8.78,0.000,409.165,5.85,0.000,286.416,5.85,0.000,572.831,9.76,0.000,582.621,7.80,0.000,450.082,8.78,0.000,409.165,6.83,0.000,409.165,7.80,0.000,450.082,7.80,0.000,439.853,7.80,0.000,490.998,7.80,0.000,368.249,3.90,0.000,531.915,8.78
1.0271,0.000,11137.855,6.15,29.79,0.00,0.000,532.196,6.83,0.000,204.691,0.98,0.000,245.629,5.86,0.000,450.320,8.78,0.000,327.505,3.90,0.000,450.320,4.88,0.000,573.134,7.81,0.000,409.381,6.83,0.000,409.381,8.78,0.000,491.258,8.78,0.000,368.443,5.86,0.000,409.381,5.86,0.000,286.567,5.86,0.000,409.381,7.81,0.000,245.629,3.90,0.000,450.320,8.78,0.000,409.381,4.88,0.000,171.428,3.90,0.000,368.443,5.86,0.000,368.443,4.88,0.000,286.567,4.88,0.000,573.134,9.76,0.000,327.505,7.81,0.000,368.443,7.81,0.000,409.381,4.88,0.000,245.629,2.93,0.000,368.443,7.81,0.000,355.770,6.83,0.000,409.381,7.81,0.000,212.367,2.93
