time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1019,0.000,0.000,0.00,44.98,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.2054,0.000,38902.022,39.42,60.77,0.00,0.000,1539.872,42.51,0.000,1215.688,38.65,0.000,1337.257,42.51,0.000,1256.211,42.51,0.000,1499.349,32.85,0.000,1377.780,41.54,0.000,1418.303,43.48,0.000,1418.303,41.54,0.000,1053.596,33.81,0.000,1418.303,29.95,0.000,1053.596,32.85,0.000,1296.734,36.71,0.000,1539.872,45.41,0.000,850.982,31.88,0.000,1256.211,38.65,0.000,1742.486,44.44,0.000,1215.688,38.65,0.000,1620.918,46.37,0.000,1296.734,43.48,0.000,932.028,31.88,0.000,1175.165,36.71,0.000,1499.349,42.51,0.000,1377.780,37.68,0.000,891.505,31.88,0.000,1175.165,40.58,0.000,1580.395,48.31,0.000,1296.734,45.41,0.000,1175.165,41.54,0.000,1458.826,45.41,0.000,932.028,32.85
0.3083,0.000,39475.348,34.73,26.97,0.00,0.000,1549.083,38.88,0.000,1304.491,34.99,0.000,1368.187,38.88,0.000,1294.300,34.02,0.000,1182.195,18.47,0.000,1538.335,40.82,0.000,1378.378,36.93,0.000,1549.083,32.07,0.000,1508.318,43.74,0.000,1345.256,29.16,0.000,1205.126,33.05,0.000,1141.430,26.24,0.000,1467.553,39.85,0.000,1452.266,36.93,0.000,1019.134,32.07,0.000,1103.212,28.19,0.000,1426.787,30.13,0.000,978.368,30.13,0.000,1467.553,38.88,0.000,1666.284,43.74,0.000,1538.892,40.82,0.000,856.072,26.24,0.000,1243.104,40.82,0.000,1141.430,30.13,0.000,1182.195,34.02,0.000,1386.022,38.88,0.000,1263.726,34.99,0.000,1431.883,37.90,0.000,1100.664,33.05,0.000,1386.022,37.90
0.4117,0.000,6151.448,3.58,7.52,0.00,0.000,202.825,4.84,0.000,243.390,4.84,0.000,220.572,3.87,0.000,375.225,5.80,0.000,121.695,1.93,0.000,132.391,0.00,0.000,169.866,2.90,0.000,202.825,2.90,0.000,121.695,0.97,0.000,202.825,3.87,0.000,301.702,6.77,0.000,40.565,0.97,0.000,243.390,2.90,0.000,218.036,2.90,0.000,121.695,1.93,0.000,240.854,3.87,0.000,121.695,2.90,0.000,283.954,4.84,0.000,121.695,2.90,0.000,126.765,1.93,0.000,91.271,1.93,0.000,243.390,4.84,0.000,142.215,3.87,0.000,162.260,3.87,0.000,283.954,4.84,0.000,283.954,4.84,0.000,283.954,5.80,0.000,360.014,4.84,0.000,202.825,2.90,0.000,283.954,5.80
0.5135,0.000,2636.018,2.82,2.99,0.00,0.000,82.376,3.93,0.000,164.751,3.93,0.000,123.563,3.93,0.000,288.314,6.87,0.000,41.188,1.96,0.000,123.563,3.93,0.000,41.188,2.95,0.000,41.188,1.96,0.000,82.376,2.95,0.000,123.563,2.95,0.000,0.000,0.00,0.000,82.376,2.95,0.000,82.376,3.93,0.000,164.751,2.95,0.000,123.563,3.93,0.000,41.188,1.96,0.000,82.376,3.93,0.000,123.563,3.93,0.000,0.000,0.00,0.000,247.127,4.91,0.000,41.188,1.96,0.000,123.563,3.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.188,1.96,0.000,0.000,0.00,0.000,41.188,1.96,0.000,82.376,2.95,0.000,123.563,3.93,0.000,123.563,3.93
0.6154,0.000,2544.445,2.52,1.08,0.00,0.000,164.656,3.93,0.000,82.328,2.94,0.000,0.000,0.00,0.000,82.328,2.94,0.000,41.164,1.96,0.000,5.145,0.98,0.000,0.000,0.00,0.000,82.328,2.94,0.000,246.984,5.89,0.000,82.328,2.94,0.000,41.164,1.96,0.000,41.164,1.96,0.000,38.591,1.96,0.000,164.656,2.94,0.000,82.328,1.96,0.000,164.656,4.91,0.000,36.018,1.96,0.000,41.164,1.96,0.000,36.018,1.96,0.000,164.656,4.91,0.000,82.328,2.94,0.000,123.492,2.94,0.000,123.492,2.94,0.000,164.656,3.93,0.000,123.492,2.94,0.000,0.000,0.00,0.000,41.164,1.96,0.000,164.656,3.93,0.000,123.492,2.94,0.000,0.000,0.00
0.7169,0.000,13317.151,12.01,11.34,0.00,0.000,330.668,7.88,0.000,744.004,12.81,0.000,537.336,9.85,0.000,454.669,7.88,0.000,413.335,6.90,0.000,532.169,10.84,0.000,413.335,11.83,0.000,330.668,5.91,0.000,372.002,7.88,0.000,372.002,5.91,0.000,620.003,12.81,0.000,289.335,3.94,0.000,291.918,5.91,0.000,330.668,7.88,0.000,537.336,9.85,0.000,661.337,8.87,0.000,501.169,7.88,0.000,372.002,7.88,0.000,459.836,10.84,0.000,537.336,11.83,0.000,620.003,11.83,0.000,330.668,12.81,0.000,372.002,8.87,0.000,413.335,9.85,0.000,454.669,8.87,0.000,372.002,6.90,0.000,454.669,8.87,0.000,330.668,5.91,0.000,578.670,10.84,0.000,289.335,100.00
0.8187,0.000,10547.133,5.63,15.31,0.00,0.000,288.398,3.93,0.000,576.796,9.82,0.000,494.397,9.82,0.000,164.799,2.95,0.000,247.198,3.93,0.000,370.798,6.88,0.000,411.997,6.88,0.000,370.798,5.89,0.000,329.598,2.95,0.000,659.196,8.84,0.000,494.397,7.86,0.000,329.598,4.91,0.000,329.598,5.89,0.000,329.598,6.88,0.000,370.798,5.89,0.000,288.398,5.89,0.000,411.997,5.89,0.000,453.197,5.89,0.000,247.198,3.93,0.000,164.799,1.96,0.000,247.198,3.93,0.000,247.198,4.91,0.000,329.598,4.91,0.000,494.397,8.84,0.000,411.997,7.86,0.000,329.598,2.95,0.000,205.999,3.93,0.000,247.198,3.93,0.000,370.798,4.91,0.000,329.598,5.89
0.9206,0.000,13178.737,7.36,23.82,0.00,0.000,411.675,7.85,0.000,411.675,5.89,0.000,452.842,7.85,0.000,411.675,7.85,0.000,535.177,7.85,0.000,411.675,7.85,0.000,452.842,6.87,0.000,617.512,9.82,0.000,452.842,6.87,0.000,535.177,8.83,0.000,494.010,8.83,0.000,452.842,7.85,0.000,535.177,8.83,0.000,576.345,9.82,0.000,411.675,7.85,0.000,411.675,7.85,0.000,329.340,4.91,0.000,370.507,4.91,0.000,334.486,5.89,0.000,288.172,4.91,0.000,494.010,5.89,0.000,329.340,6.87,0.000,370.507,5.89,0.000,452.842,7.85,0.000,288.172,4.91,0.000,617.512,11.78,0.000,411.675,5.89,0.000,370.507,6.87,0.000,617.512,9.82,0.000,329.340,5.89
1.0232,0.000,24497.224,15.29,23.40,0.00,0.000,824.640,14.61,0.000,735.283,15.58,0.000,1102.924,19.48,0.000,898.679,16.56,0.000,408.491,5.84,0.000,857.830,14.61,0.000,1143.773,21.43,0.000,612.736,9.74,0.000,694.434,15.58,0.000,998.249,17.53,0.000,939.528,16.56,0.000,857.830,12.66,0.000,612.736,10.71,0.000,811.875,20.45,0.000,326.792,5.84,0.000,735.283,10.71,0.000,776.132,12.66,0.000,857.830,14.61,0.000,893.573,17.53,0.000,959.953,17.53,0.000,694.434,12.66,0.000,776.132,15.58,0.000,832.299,15.58,0.000,694.434,14.61,0.000,985.483,18.50,0.000,939.528,18.50,0.000,1296.439,22.40,0.000,806.769,22.40,0.000,769.550,15.58,0.000,653.585,12.66
