time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1024,0.085,2.890,2.34,25.63,0.00,0.000,0.045,2.93,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,2.93,0.000,0.055,1.95,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,2.93,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,2.93,0.000,0.045,2.93,0.000,0.045,1.95,0.000,0.045,2.93,0.000,0.045,2.93,0.000,0.045,1.95,0.000,0.045,1.95,0.085,0.045,1.95,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,1.95,0.000,1.575,2.93,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,2.93,0.000,0.045,1.95,0.000,0.045,1.95,0.000,0.045,3.91,0.000,0.045,2.93
0.2052,0.000,24134.949,21.75,55.04,0.00,0.000,1057.866,27.23,0.000,856.489,28.20,0.000,1050.218,24.31,0.000,553.149,16.53,0.000,1190.417,23.34,0.000,499.618,15.56,0.000,1065.513,24.31,0.000,729.035,18.48,0.000,637.268,17.50,0.000,1305.126,25.28,0.000,711.192,20.42,0.000,753.769,18.48,0.000,754.526,21.39,0.000,655.112,22.37,0.000,647.465,22.37,0.000,894.725,23.34,0.000,915.117,22.37,0.000,871.783,24.31,0.000,744.330,19.45,0.000,570.993,17.50,0.000,897.274,23.34,0.000,517.462,16.53,0.000,833.547,23.34,0.000,815.704,19.45,0.000,1196.591,31.12,0.000,797.860,21.39,0.000,655.112,23.34,0.000,782.566,22.37,0.000,553.149,21.39,0.000,621.974,17.50
0.3089,0.000,22155.767,16.94,53.53,0.00,0.000,366.615,10.61,0.000,711.738,13.50,0.000,1061.918,17.36,0.000,462.693,11.57,0.000,1034.106,19.29,0.000,831.836,19.29,0.000,882.403,17.36,0.000,649.793,12.54,0.000,1001.237,21.22,0.000,884.932,14.47,0.000,953.198,21.22,0.000,830.058,16.40,0.000,892.517,22.18,0.000,542.534,19.29,0.000,821.722,18.33,0.000,472.806,8.68,0.000,675.076,12.54,0.000,664.963,18.33,0.000,1375.437,25.08,0.000,596.697,14.47,0.000,503.147,11.57,0.000,834.364,18.33,0.000,548.658,13.50,0.000,394.427,14.47,0.000,512.194,12.54,0.000,503.147,21.22,0.000,1016.407,22.18,0.000,990.847,22.18,0.000,604.282,25.08,0.000,536.016,13.50
0.4120,0.000,34352.927,27.83,17.26,0.00,0.000,1220.260,30.06,0.000,789.355,21.34,0.000,1260.935,30.06,0.000,1301.610,33.94,0.000,1027.052,18.43,0.000,1065.185,25.21,0.000,938.074,23.27,0.000,897.399,18.43,0.000,1408.383,31.03,0.000,1266.019,27.15,0.000,1179.584,35.88,0.000,894.857,19.40,0.000,1116.029,23.27,0.000,1567.072,33.94,0.000,1171.958,25.21,0.000,1072.811,19.40,0.000,1011.799,20.37,0.000,1024.510,30.06,0.000,1088.065,28.12,0.000,1108.402,27.15,0.000,1243.139,29.09,0.000,1207.548,29.09,0.000,1179.584,28.12,0.000,1515.156,35.88,0.000,894.857,21.34,0.000,976.208,25.21,0.000,1456.685,32.00,0.000,1070.547,26.18,0.000,1403.298,61.10,0.000,996.545,25.21
0.5150,0.000,107.903,0.16,2.76,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.97,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.97,0.000,0.000,0.00,0.000,107.903,2.91,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.6168,0.000,7910.783,6.02,5.44,0.00,0.000,123.606,3.93,0.000,82.404,0.98,0.000,329.616,6.88,0.000,206.010,4.91,0.000,329.616,7.86,0.000,206.010,4.91,0.000,288.414,5.89,0.000,288.414,6.88,0.000,329.616,7.86,0.000,164.808,2.95,0.000,370.818,8.84,0.000,453.222,8.84,0.000,206.010,6.88,0.000,206.010,4.91,0.000,412.020,9.82,0.000,247.212,5.89,0.000,164.808,4.91,0.000,206.010,3.93,0.000,206.010,4.91,0.000,247.212,4.91,0.000,206.010,4.91,0.000,164.808,4.91,0.000,247.212,3.93,0.000,412.020,8.84,0.000,370.818,7.86,0.000,412.020,9.82,0.000,329.616,5.89,0.000,329.616,5.89,0.000,247.212,7.86,0.000,123.606,3.93
0.7188,0.000,9217.233,9.12,5.51,0.00,0.000,246.890,5.89,0.000,452.632,7.85,0.000,288.039,4.91,0.000,164.593,3.92,0.000,205.742,3.92,0.000,205.742,4.91,0.000,493.780,11.77,0.000,329.187,5.89,0.000,370.335,6.87,0.000,164.593,2.94,0.000,288.039,5.89,0.000,288.039,4.91,0.000,288.039,4.91,0.000,288.039,5.89,0.000,205.742,4.91,0.000,329.187,4.91,0.000,288.039,5.89,0.000,288.039,6.87,0.000,493.780,8.83,0.000,493.780,9.81,0.000,288.039,3.92,0.000,288.039,94.18,0.000,329.187,5.89,0.000,288.039,5.89,0.000,246.890,5.89,0.000,205.742,4.91,0.000,370.335,8.83,0.000,329.187,5.89,0.000,370.335,8.83,0.000,329.187,7.85
0.8207,0.000,9655.043,5.23,15.19,0.00,0.000,329.017,3.92,0.000,385.567,5.88,0.000,246.763,2.94,0.000,329.017,3.92,0.000,493.526,7.84,0.000,452.399,7.84,0.000,411.272,8.82,0.000,357.292,4.90,0.000,246.763,1.96,0.000,370.144,4.90,0.000,452.399,8.82,0.000,246.763,5.88,0.000,246.763,4.90,0.000,287.890,4.90,0.000,411.272,8.82,0.000,329.017,6.86,0.000,370.144,4.90,0.000,205.636,2.94,0.000,251.904,3.92,0.000,287.890,3.92,0.000,370.144,5.88,0.000,205.636,2.94,0.000,246.763,2.94,0.000,329.017,3.92,0.000,246.763,4.90,0.000,246.763,4.90,0.000,329.017,3.92,0.000,311.466,2.94,0.000,411.272,11.77,0.000,246.763,3.92
0.9238,0.000,10965.034,5.72,13.17,0.00,0.000,488.258,7.76,0.000,310.248,2.91,0.000,244.129,3.88,0.000,406.882,5.82,0.000,322.963,4.85,0.000,325.506,4.85,0.000,406.882,5.82,0.000,216.156,1.94,0.000,366.194,6.79,0.000,244.129,1.94,0.000,284.817,2.91,0.000,325.506,4.85,0.000,284.817,5.82,0.000,490.801,7.76,0.000,528.947,8.73,0.000,488.258,9.70,0.000,284.817,2.91,0.000,447.570,6.79,0.000,414.511,7.76,0.000,203.441,3.88,0.000,488.258,8.73,0.000,488.258,6.79,0.000,284.817,5.82,0.000,338.221,4.85,0.000,447.570,6.79,0.000,528.947,6.79,0.000,325.506,4.85,0.000,464.934,6.79,0.000,228.871,8.73,0.000,284.817,3.88
1.0277,0.000,10223.647,6.36,23.56,0.00,0.000,282.737,4.81,0.000,403.555,7.70,0.000,363.519,7.70,0.000,484.692,7.70,0.000,487.216,7.70,0.000,242.346,3.85,0.000,282.737,4.81,0.000,403.910,7.70,0.000,242.346,2.89,0.000,323.128,4.81,0.000,232.248,3.85,0.000,444.301,6.74,0.000,323.128,9.63,0.000,381.190,8.67,0.000,323.128,7.70,0.000,242.346,3.85,0.000,363.519,7.70,0.000,161.564,2.89,0.000,472.069,8.67,0.000,323.128,4.81,0.000,201.955,4.81,0.000,282.737,4.81,0.000,363.558,8.67,0.000,391.287,5.78,0.000,403.910,6.74,0.000,489.740,9.63,0.000,403.910,7.70,0.000,323.128,5.78,0.000,378.665,9.63,0.000,201.955,2.89
