time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1019,0.000,0.668,0.16,75.17,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.121,0.00,0.000,0.000,0.00,0.000,0.121,1.96,0.000,0.121,0.00,0.000,0.121,0.00,0.000,0.141,0.00,0.000,0.045,2.94,0.000,0.000,0.00,0.000,0.000,0.00
0.2048,0.000,119.966,0.29,90.23,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,17.849,1.95,0.000,0.000,0.00,0.000,34.623,1.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,33.189,1.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.97,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.97,0.000,0.000,0.00,0.000,34.304,0.97,0.000,0.000,0.00
0.3072,0.000,39197.462,25.78,80.81,0.00,0.000,941.991,18.55,0.000,1187.728,20.51,0.000,1638.245,38.08,0.000,1251.722,19.53,0.000,1597.289,27.34,0.000,989.147,18.55,0.000,860.079,15.62,0.000,1597.289,36.13,0.000,1269.640,24.41,0.000,1310.596,22.46,0.000,1392.509,25.39,0.000,1105.816,20.51,0.000,1556.333,30.27,0.000,1310.596,27.34,0.000,1064.860,23.44,0.000,1187.728,25.39,0.000,1686.841,28.32,0.000,1105.816,24.41,0.000,1023.903,23.44,0.000,1351.552,28.32,0.000,1679.202,34.18,0.000,1310.596,22.46,0.000,1351.552,30.27,0.000,860.079,18.55,0.000,1802.070,35.15,0.000,1392.509,30.27,0.000,1392.509,27.34,0.000,1351.552,28.32,0.000,1276.160,21.48,0.000,1351.552,27.34
0.4100,0.000,0.000,0.00,84.19,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.5133,0.000,21928.702,13.09,51.53,0.00,0.000,809.143,16.45,0.000,826.898,11.61,0.000,608.759,11.61,0.000,933.431,20.32,0.000,730.511,12.58,0.000,771.095,13.55,0.000,831.971,13.55,0.000,771.095,13.55,0.000,811.679,15.48,0.000,763.486,12.58,0.000,570.712,10.64,0.000,649.343,8.71,0.000,1100.840,18.38,0.000,974.015,19.35,0.000,527.592,7.74,0.000,842.117,16.45,0.000,487.008,10.64,0.000,446.424,7.74,0.000,771.095,14.51,0.000,697.537,12.58,0.000,613.832,12.58,0.000,446.424,7.74,0.000,634.124,11.61,0.000,596.458,10.64,0.000,596.077,17.42,0.000,608.759,10.64,0.000,844.654,12.58,0.000,1007.287,16.45,0.000,844.654,11.61,0.000,811.679,13.55
0.6171,0.000,23423.136,15.77,28.26,0.00,0.000,891.466,19.27,0.000,510.131,12.52,0.000,1171.785,24.08,0.000,1010.160,22.16,0.000,646.502,8.67,0.000,808.128,24.08,0.000,545.486,16.38,0.000,767.721,11.56,0.000,727.315,15.41,0.000,654.078,6.74,0.000,926.821,19.27,0.000,808.128,13.49,0.000,641.451,14.45,0.000,525.283,11.56,0.000,646.502,14.45,0.000,656.604,8.67,0.000,969.753,16.38,0.000,444.470,8.67,0.000,1131.379,21.19,0.000,315.675,7.71,0.000,803.077,16.38,0.000,1010.160,21.19,0.000,1308.157,23.12,0.000,739.972,16.38,0.000,699.536,15.41,0.000,444.470,12.52,0.000,815.704,16.38,0.000,977.359,19.27,0.000,1017.736,19.27,0.000,808.128,16.38
0.7190,0.000,0.000,0.00,7.21,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.8208,0.000,3139.411,2.65,5.81,0.00,0.000,164.826,3.93,0.000,123.619,2.95,0.000,164.826,2.95,0.000,82.413,1.96,0.000,164.826,4.91,0.000,247.238,6.88,0.000,123.619,2.95,0.000,41.206,1.96,0.000,164.826,4.91,0.000,41.206,1.96,0.000,41.206,1.96,0.000,82.413,2.95,0.000,164.826,2.95,0.000,82.413,2.95,0.000,298.746,4.91,0.000,41.206,1.96,0.000,0.000,0.00,0.000,82.413,0.98,0.000,41.206,1.96,0.000,41.206,1.96,0.000,82.413,1.96,0.000,123.619,2.95,0.000,82.413,1.96,0.000,41.206,1.96,0.000,82.413,1.96,0.000,41.206,1.96,0.000,123.619,2.95,0.000,247.238,3.93,0.000,41.206,0.00,0.000,79.837,1.96
0.9231,0.000,12610.489,6.48,30.24,0.00,0.000,532.585,7.81,0.000,409.681,7.81,0.000,409.681,7.81,0.000,409.681,7.81,0.000,573.553,9.77,0.000,368.713,5.86,0.000,409.681,2.93,0.000,491.617,8.79,0.000,327.745,4.88,0.000,491.617,3.91,0.000,245.809,4.88,0.000,368.713,6.84,0.000,614.521,11.72,0.000,409.681,4.88,0.000,399.439,6.84,0.000,286.777,5.86,0.000,409.681,4.88,0.000,368.713,4.88,0.000,614.521,7.81,0.000,327.745,2.93,0.000,409.681,3.91,0.000,368.713,6.84,0.000,491.617,5.86,0.000,409.681,8.79,0.000,491.617,6.84,0.000,368.713,7.81,0.000,286.777,4.88,0.000,450.649,5.86,0.000,450.649,6.84,0.000,412.241,7.81
1.0250,0.000,11862.631,6.29,29.20,0.00,0.000,576.656,10.80,0.000,329.518,3.93,0.000,123.569,0.98,0.000,659.035,9.82,0.000,411.897,6.87,0.000,370.707,5.89,0.000,576.656,10.80,0.000,453.087,6.87,0.000,370.707,5.89,0.000,494.276,8.84,0.000,576.656,13.75,0.000,329.518,5.89,0.000,247.138,3.93,0.000,247.138,2.95,0.000,329.518,4.91,0.000,370.707,4.91,0.000,370.707,4.91,0.000,494.276,9.82,0.000,288.328,2.95,0.000,659.035,14.73,0.000,329.518,6.87,0.000,411.897,5.89,0.000,453.087,4.91,0.000,370.707,2.95,0.000,247.138,4.91,0.000,205.948,1.96,0.000,329.518,4.91,0.000,453.087,6.87,0.000,205.948,1.96,0.000,576.656,7.86
