time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1020,0.000,0.000,0.00,73.11,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.2044,0.000,1310.959,2.12,89.98,0.00,0.000,40.967,2.93,0.000,40.967,2.93,0.000,122.902,4.88,0.000,40.967,2.93,0.000,81.935,2.93,0.000,81.935,3.91,0.000,81.935,3.91,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.967,2.93,0.000,0.000,0.00,0.000,81.935,2.93,0.000,122.902,4.88,0.000,0.000,0.00,0.000,40.967,2.93,0.000,0.000,0.00,0.000,40.967,2.93,0.000,81.935,3.91,0.000,40.967,2.93,0.000,81.935,2.93,0.000,40.967,2.93,0.000,81.935,1.95,0.000,81.935,3.91,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.967,1.95,0.000,40.967,1.95,0.000,0.000,0.00,0.000,0.000,0.00
0.3068,0.000,36707.949,22.79,60.81,0.00,0.000,1597.779,35.16,0.000,1147.123,21.49,0.000,860.343,11.72,0.000,1147.123,18.56,0.000,1147.123,18.56,0.000,1433.904,24.42,0.000,983.249,16.61,0.000,1065.186,19.54,0.000,1188.092,21.49,0.000,1024.217,16.61,0.000,1392.936,28.33,0.000,1188.092,22.47,0.000,1310.998,23.44,0.000,1188.092,22.47,0.000,1474.873,31.26,0.000,1024.217,17.58,0.000,1270.029,28.33,0.000,860.343,19.54,0.000,1147.123,19.54,0.000,1229.061,20.51,0.000,1229.061,19.54,0.000,1761.654,36.14,0.000,1229.061,23.44,0.000,1392.936,24.42,0.000,942.280,17.58,0.000,1147.123,24.42,0.000,1515.842,28.33,0.000,1392.936,27.35,0.000,1270.029,25.40,0.000,1147.123,19.54
0.4091,0.000,1311.732,0.72,83.93,0.00,0.000,40.992,0.00,0.000,40.992,0.98,0.000,40.992,0.98,0.000,122.975,1.95,0.000,81.983,1.95,0.000,122.975,1.95,0.000,40.992,0.00,0.000,40.992,0.00,0.000,0.000,0.00,0.000,40.992,0.98,0.000,40.992,0.00,0.000,0.000,0.00,0.000,163.966,2.93,0.000,0.000,0.00,0.000,40.992,0.98,0.000,40.992,0.00,0.000,81.983,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,81.983,1.95,0.000,40.992,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.992,0.98,0.000,40.992,0.00,0.000,40.992,0.98,0.000,40.992,0.98,0.000,40.992,0.98,0.000,40.992,0.98
0.5114,0.000,39198.205,25.29,43.55,0.00,0.000,1394.078,28.35,0.000,1558.088,29.33,0.000,1066.060,23.46,0.000,1194.192,20.53,0.000,1025.058,17.60,0.000,958.429,16.62,0.000,1271.071,24.44,0.000,1394.078,28.35,0.000,1435.081,30.30,0.000,1394.078,20.53,0.000,1435.081,25.42,0.000,1189.067,18.57,0.000,1353.076,23.46,0.000,1435.081,27.37,0.000,1640.092,37.15,0.000,1312.074,25.42,0.000,1189.067,21.51,0.000,1619.591,30.30,0.000,1189.067,34.21,0.000,1148.065,24.44,0.000,1066.060,21.51,0.000,1107.062,22.48,0.000,1394.078,25.42,0.000,1066.060,22.48,0.000,1681.095,33.24,0.000,1107.062,22.48,0.000,984.055,20.53,0.000,1681.095,29.33,0.000,1681.095,29.33,0.000,1230.069,24.44
0.6134,0.000,4110.867,2.58,24.92,0.00,0.000,205.543,2.94,0.000,205.543,2.94,0.000,82.217,1.96,0.000,77.079,1.96,0.000,164.435,2.94,0.000,272.345,4.90,0.000,164.435,2.94,0.000,164.435,2.94,0.000,246.652,4.90,0.000,123.326,1.96,0.000,82.217,0.98,0.000,164.435,1.96,0.000,82.217,1.96,0.000,205.543,3.92,0.000,41.109,0.98,0.000,205.543,3.92,0.000,82.217,1.96,0.000,102.772,0.98,0.000,41.109,0.00,0.000,287.761,4.90,0.000,41.109,0.98,0.000,164.435,2.94,0.000,82.217,1.96,0.000,246.652,3.92,0.000,0.000,0.00,0.000,82.217,0.98,0.000,287.761,3.92,0.000,41.109,0.98,0.000,82.217,7.84,0.000,82.217,1.96
0.7152,0.000,10558.294,6.52,18.50,0.00,0.000,329.786,5.90,0.000,371.009,6.88,0.000,206.116,3.93,0.000,371.009,6.88,0.000,329.786,6.88,0.000,41.223,1.97,0.000,535.902,9.83,0.000,247.339,5.90,0.000,206.116,3.93,0.000,494.678,6.88,0.000,618.348,9.83,0.000,453.455,8.85,0.000,288.562,5.90,0.000,164.893,2.95,0.000,329.786,5.90,0.000,82.446,1.97,0.000,329.786,5.90,0.000,247.339,4.91,0.000,577.125,11.79,0.000,494.678,9.83,0.000,293.715,4.91,0.000,618.348,8.85,0.000,329.786,6.88,0.000,412.232,7.86,0.000,412.232,6.88,0.000,123.670,2.95,0.000,164.893,2.95,0.000,659.571,11.79,0.000,329.786,6.88,0.000,494.678,8.85
0.8171,0.000,11825.433,6.25,33.48,0.07,0.000,246.964,4.91,0.000,370.447,5.89,0.000,288.125,3.93,0.000,288.125,3.93,0.000,370.447,6.87,0.000,535.090,9.81,0.000,452.768,7.85,0.000,411.607,3.93,0.000,288.125,4.91,0.000,246.964,3.93,0.000,370.447,8.83,0.000,370.447,7.85,0.000,288.125,5.89,0.000,493.929,6.87,0.000,370.447,4.91,0.000,535.090,7.85,0.000,329.286,5.89,0.000,411.607,7.85,0.000,329.286,4.91,0.000,535.090,9.81,0.000,365.302,4.91,0.000,402.724,4.91,0.000,288.125,3.93,0.000,329.286,3.93,0.000,735.748,6.87,0.000,576.250,9.81,0.000,607.724,6.87,0.000,329.286,6.87,0.000,411.607,8.83,0.000,246.964,3.93
0.9221,0.000,9942.114,5.97,26.61,0.00,0.000,359.622,8.57,0.000,439.537,8.57,0.000,279.706,5.72,0.000,474.501,7.62,0.000,239.748,5.72,0.000,239.748,4.76,0.000,159.832,1.91,0.000,319.664,3.81,0.000,519.453,8.57,0.000,239.748,2.86,0.000,279.706,6.67,0.000,279.706,5.72,0.000,79.916,1.91,0.000,559.411,7.62,0.000,319.664,4.76,0.000,279.706,5.72,0.000,479.495,8.57,0.000,319.664,4.76,0.000,296.719,5.72,0.000,599.369,11.43,0.000,279.706,4.76,0.000,408.203,7.62,0.000,239.748,6.67,0.000,239.748,3.81,0.000,324.658,5.72,0.000,399.579,6.67,0.000,568.815,9.53,0.000,239.748,4.76,0.000,197.292,3.81,0.000,279.706,4.76
1.0245,0.000,6866.585,3.42,25.48,0.00,0.000,122.792,1.95,0.000,204.653,3.90,0.000,327.445,3.90,0.000,250.700,3.90,0.000,245.584,3.90,0.000,327.445,4.88,0.000,245.584,4.88,0.000,81.861,1.95,0.000,163.722,2.93,0.000,327.445,3.90,0.000,613.959,8.78,0.000,245.584,3.90,0.000,450.236,4.88,0.000,204.653,2.93,0.000,245.584,4.88,0.000,163.722,2.93,0.000,122.792,1.95,0.000,163.722,2.93,0.000,146.295,2.93,0.000,204.653,3.90,0.000,163.722,1.95,0.000,81.861,1.95,0.000,245.584,1.95,0.000,245.584,3.90,0.000,245.584,3.90,0.000,204.653,2.93,0.000,286.514,3.90,0.000,163.722,1.95,0.000,166.280,1.95,0.000,204.653,1.95
