time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.0202,0.000,9.770,0.20,7.84,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,7.603,3.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,2.167,1.98,0.000,0.000,0.00,0.000,0.000,0.00
0.1229,0.000,9288.295,14.48,59.70,0.00,0.000,517.239,27.26,0.000,163.360,5.84,0.000,285.880,11.68,0.000,326.720,11.68,0.000,285.880,10.71,0.000,245.040,14.61,0.000,416.057,20.45,0.000,216.962,12.66,0.000,431.372,12.66,0.000,245.040,9.74,0.000,204.200,12.66,0.000,81.680,4.87,0.000,321.615,18.50,0.000,359.064,16.55,0.000,163.360,10.71,0.000,339.482,11.68,0.000,449.239,13.63,0.000,370.112,13.63,0.000,357.350,19.47,0.000,502.842,24.34,0.000,188.885,10.71,0.000,232.277,15.58,0.000,541.129,21.42,0.000,326.720,18.50,0.000,204.200,9.74,0.000,308.852,16.55,0.000,326.720,14.61,0.000,237.382,10.71,0.000,469.659,19.47,0.000,169.980,13.63
0.2373,0.000,40091.705,93.73,95.88,0.00,0.000,1137.297,99.64,0.000,1331.232,91.78,0.000,1441.214,95.27,0.000,1429.757,93.52,0.000,1411.427,58.56,0.000,1379.349,96.15,0.000,1452.670,98.77,0.000,1387.977,95.27,0.000,1393.097,90.90,0.000,1633.681,61.18,0.000,1028.784,89.15,0.000,1251.038,93.52,0.000,1342.689,94.40,0.000,1522.160,100.00,0.000,1312.902,91.78,0.000,1306.028,93.52,0.000,1465.702,95.27,0.000,1519.117,99.64,0.000,1420.592,99.64,0.000,1299.155,91.78,0.000,1484.748,98.77,0.000,1182.299,97.89,0.000,1441.357,97.89,0.000,1106.687,94.40,0.000,1147.930,99.64,0.000,1131.712,100.00,0.000,1122.726,98.77,0.000,1141.056,100.00,0.000,1374.767,95.27,0.000,1492.553,99.64
0.3514,0.000,40272.443,98.05,94.08,0.00,0.000,1141.679,100.00,0.000,1467.873,100.00,0.000,1460.982,99.90,0.000,1424.228,99.90,0.000,2014.593,80.62,0.000,1380.582,100.00,0.000,1440.308,100.00,0.000,1263.966,100.00,0.000,1268.022,91.13,0.000,1617.152,70.98,0.000,1114.114,99.90,0.000,1240.456,99.90,0.000,1431.119,100.00,0.000,1426.525,100.00,0.000,1403.553,100.00,0.000,1251.942,100.00,0.000,1238.877,99.90,0.000,1419.633,100.00,0.000,1440.308,100.00,0.000,1444.902,100.00,0.000,1435.713,100.00,0.000,1116.411,99.90,0.000,1408.004,99.90,0.000,1114.114,99.90,0.000,1116.411,99.90,0.000,1132.670,100.00,0.000,1118.708,99.90,0.000,1114.114,100.00,0.000,1417.336,100.00,0.000,1408.148,99.90
0.4672,0.000,40439.037,96.86,94.74,0.00,0.000,1147.092,100.00,0.000,1436.648,100.00,0.000,1518.096,100.00,0.000,1518.096,100.00,0.000,1499.997,57.82,0.000,1427.952,100.00,0.000,1438.911,100.00,0.000,1343.888,100.00,0.000,1205.880,84.58,0.000,1789.624,65.59,0.000,1117.645,100.00,0.000,1334.839,100.00,0.000,1418.372,100.00,0.000,1420.811,100.00,0.000,1429.472,100.00,0.000,1291.852,100.00,0.000,1337.808,99.25,0.000,1420.811,100.00,0.000,1461.535,100.00,0.000,1463.798,100.00,0.000,1432.124,100.00,0.000,1131.219,100.00,0.000,1391.400,100.00,0.000,1128.957,99.25,0.000,1131.219,100.00,0.000,1123.690,100.00,0.000,1131.219,100.00,0.000,1133.482,100.00,0.000,1387.264,100.00,0.000,1425.336,99.25
0.5844,0.000,40031.129,98.51,94.68,0.13,0.000,1111.795,99.86,0.000,1413.998,100.00,0.000,1415.292,100.00,0.000,1418.578,100.00,0.000,1964.529,76.82,0.000,1418.403,100.00,0.000,1403.405,99.86,0.000,1125.465,99.86,0.000,1418.578,100.00,0.000,2040.604,79.38,0.000,1120.396,100.00,0.000,1134.415,100.00,0.000,1425.465,100.00,0.000,1387.253,100.00,0.000,1414.488,100.00,0.000,1132.177,100.00,0.000,1124.766,100.00,0.000,1420.816,100.00,0.000,1413.264,100.00,0.000,1371.590,99.86,0.000,1409.628,99.86,0.000,1113.823,99.86,0.000,1401.133,100.00,0.000,1120.815,100.00,0.000,1123.227,100.00,0.000,1114.417,100.00,0.000,1118.752,100.00,0.000,1122.109,100.00,0.000,1415.606,100.00,0.000,1416.341,100.00
0.7016,0.000,40683.051,93.51,73.04,5.41,0.000,1114.006,93.03,0.000,1409.654,95.59,0.000,1437.761,98.15,0.000,1440.348,97.30,0.000,1158.963,46.09,0.000,1424.057,96.44,0.000,1345.050,93.88,0.000,1481.670,94.74,0.000,1382.701,96.44,0.000,1575.116,56.33,0.000,1189.447,99.01,0.000,1572.843,98.15,0.000,1440.873,95.59,0.000,1382.876,96.44,0.000,1420.911,94.74,0.000,1406.438,96.44,0.000,1573.752,98.15,0.000,1425.211,97.30,0.000,1372.353,93.03,0.000,1410.738,93.88,0.000,1333.479,93.88,0.000,1192.314,99.86,0.000,1454.017,98.15,0.000,1191.685,99.01,0.000,1189.762,99.01,0.000,1146.133,95.59,0.000,1174.065,99.01,0.000,1161.725,95.59,0.000,1418.114,95.59,0.000,1456.989,99.01
0.8081,0.000,45253.340,96.31,37.64,11.79,0.000,1292.837,99.51,0.000,1574.999,99.51,0.000,1529.087,99.51,0.000,1574.884,100.00,0.000,1889.999,54.45,0.000,1576.306,99.51,0.000,1511.591,99.51,0.000,1652.788,99.51,0.000,1572.538,99.51,0.000,1378.124,44.12,0.000,1278.379,100.00,0.000,1677.012,99.51,0.000,1561.618,99.51,0.000,1560.041,99.51,0.000,1560.041,99.51,0.000,1660.209,99.51,0.000,1678.550,99.51,0.000,1560.233,100.00,0.000,1548.967,100.00,0.000,1556.465,99.51,0.000,1562.694,99.51,0.000,1301.912,99.51,0.000,1574.768,100.00,0.000,1297.528,100.00,0.000,1284.147,99.51,0.000,1298.297,99.51,0.000,1305.834,99.51,0.000,1278.302,100.00,0.000,1579.690,100.00,0.000,1575.499,100.00
0.9141,0.000,46881.181,95.79,31.79,13.63,0.000,1374.268,100.00,0.000,1612.821,100.00,0.000,1605.516,100.00,0.000,1613.439,100.00,0.000,1266.509,34.91,0.000,1651.935,100.00,0.000,1659.434,100.00,0.000,1926.201,100.00,0.000,1610.308,100.00,0.000,1397.613,38.69,0.000,1352.508,100.00,0.000,1906.103,100.00,0.000,1580.972,100.00,0.000,1640.031,100.00,0.000,1634.079,100.00,0.000,1922.491,100.00,0.000,1906.103,100.00,0.000,1575.716,100.00,0.000,1615.604,100.00,0.000,1612.241,100.00,0.000,1618.309,100.00,0.000,1354.517,100.00,0.000,1598.017,100.00,0.000,1301.025,100.00,0.000,1316.833,100.00,0.000,1364.953,100.00,0.000,1359.581,100.00,0.000,1362.557,100.00,0.000,1571.735,100.00,0.000,1569.764,100.00
1.0231,0.000,45116.794,96.01,36.24,12.50,0.000,1293.785,99.98,0.000,1587.033,99.98,0.000,1529.323,99.07,0.000,1536.912,99.98,0.000,1500.468,43.11,0.000,1522.334,99.98,0.000,1573.845,99.98,0.000,1671.044,99.07,0.000,1591.354,99.98,0.000,1603.865,43.11,0.000,1309.077,99.98,0.000,1690.393,99.98,0.000,1567.158,99.98,0.000,1570.389,99.98,0.000,1512.679,99.98,0.000,1691.821,99.98,0.000,1694.000,99.98,0.000,1571.291,99.98,0.000,1556.863,99.98,0.000,1562.762,99.98,0.000,1550.438,99.98,0.000,1303.408,99.07,0.000,1553.369,99.98,0.000,1267.710,99.98,0.000,1287.173,99.07,0.000,1286.083,99.98,0.000,1291.005,99.07,0.000,1290.516,99.07,0.000,1577.978,99.98,0.000,1572.718,99.98
