time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1019,19.045,2.251,3.14,51.02,0.00,0.653,0.000,2.94,0.653,0.000,2.94,0.653,0.000,2.94,0.653,0.000,2.94,0.653,0.000,3.93,0.653,0.000,1.96,0.653,0.000,3.93,0.653,0.000,2.94,0.523,0.000,2.94,0.653,0.000,2.94,0.523,0.000,1.96,0.523,0.000,2.94,0.653,0.000,3.93,0.653,0.000,2.94,0.523,0.000,3.93,0.653,0.000,2.94,0.523,0.000,2.94,0.653,0.000,2.94,0.653,0.000,3.93,0.653,0.000,2.94,0.523,0.000,3.93,0.653,0.000,1.96,0.884,2.251,1.96,0.653,0.000,2.94,0.653,0.000,2.94,0.653,0.000,3.93,0.653,0.000,3.93,0.653,0.000,2.94,0.653,0.000,3.93,0.653,0.000,3.93
0.2052,0.000,38984.606,37.76,49.69,0.00,0.000,1380.705,42.60,0.000,1137.051,30.98,0.000,1299.487,37.76,0.000,1218.269,35.82,0.000,1218.269,30.01,0.000,1583.750,40.66,0.000,1340.096,38.73,0.000,1258.878,27.11,0.000,1137.051,32.92,0.000,1543.141,46.47,0.000,1624.359,41.63,0.000,1258.878,25.17,0.000,1340.096,34.85,0.000,852.788,33.89,0.000,1218.269,33.89,0.000,974.615,23.24,0.000,1137.051,40.66,0.000,1624.359,38.73,0.000,1137.051,43.57,0.000,1055.833,30.01,0.000,1258.878,49.38,0.000,1299.487,43.57,0.000,1543.141,34.85,0.000,1502.532,37.76,0.000,1096.442,30.98,0.000,1908.621,51.31,0.000,1299.487,49.38,0.000,1340.096,52.28,0.000,974.615,38.73,0.000,1421.314,35.82
0.3070,0.000,20973.202,14.18,43.22,0.00,0.000,741.503,11.79,0.000,988.670,16.70,0.000,782.697,13.75,0.000,700.308,11.79,0.000,1251.286,19.64,0.000,823.892,13.75,0.000,713.182,10.80,0.000,460.865,7.86,0.000,659.114,12.77,0.000,888.259,11.79,0.000,741.503,10.80,0.000,659.114,8.84,0.000,494.335,5.89,0.000,633.367,18.66,0.000,550.978,8.84,0.000,576.724,7.86,0.000,865.087,29.46,0.000,453.141,9.82,0.000,1042.738,34.38,0.000,823.892,21.61,0.000,803.295,24.55,0.000,741.503,13.75,0.000,659.114,11.79,0.000,659.114,11.79,0.000,617.919,8.84,0.000,458.290,5.89,0.000,659.114,21.61,0.000,453.141,14.73,0.000,453.141,13.75,0.000,617.919,11.79
0.4092,0.000,25070.941,18.49,19.02,0.00,0.000,1231.231,22.51,0.000,738.739,19.57,0.000,656.657,17.61,0.000,943.944,17.61,0.000,846.471,11.74,0.000,820.821,13.70,0.000,766.954,12.72,0.000,772.084,11.74,0.000,902.903,19.57,0.000,1002.940,16.63,0.000,820.821,15.66,0.000,779.780,14.68,0.000,779.780,16.63,0.000,887.512,32.29,0.000,846.471,13.70,0.000,779.780,13.70,0.000,779.780,27.40,0.000,1026.026,21.53,0.000,849.036,13.70,0.000,902.903,14.68,0.000,1005.505,40.12,0.000,697.698,12.72,0.000,902.903,14.68,0.000,656.657,10.76,0.000,902.903,16.63,0.000,569.444,11.74,0.000,943.944,31.31,0.000,861.862,35.23,0.000,656.657,22.51,0.000,738.739,11.74
0.5113,0.000,0.000,0.00,3.16,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.6124,0.000,18582.556,14.23,15.75,0.08,0.000,539.000,9.89,0.000,621.923,12.85,0.000,663.385,14.83,0.000,704.847,15.82,0.000,621.923,10.87,0.000,787.770,14.83,0.000,912.154,15.82,0.000,497.539,9.89,0.000,621.923,8.90,0.000,414.616,6.92,0.000,621.923,11.86,0.000,621.923,10.87,0.000,539.000,8.90,0.000,754.082,25.70,0.000,331.693,8.90,0.000,580.462,10.87,0.000,621.923,22.74,0.000,1078.001,16.80,0.000,621.923,12.85,0.000,663.385,14.83,0.000,414.616,14.83,0.000,414.616,7.91,0.000,414.616,6.92,0.000,497.539,8.90,0.000,704.847,17.79,0.000,497.539,9.89,0.000,912.154,35.59,0.000,746.308,28.67,0.000,580.462,19.77,0.000,580.462,11.86
0.7145,0.000,5684.621,3.63,15.33,0.00,0.000,267.115,4.90,0.000,164.378,0.98,0.000,82.189,0.98,0.000,123.284,2.94,0.000,205.473,2.94,0.000,205.473,0.98,0.000,243.999,3.92,0.000,287.662,4.90,0.000,123.284,0.98,0.000,123.284,2.94,0.000,328.757,5.88,0.000,164.378,2.94,0.000,205.473,3.92,0.000,254.273,9.80,0.000,205.473,1.96,0.000,246.568,4.90,0.000,123.284,2.94,0.000,123.284,1.96,0.000,123.284,0.98,0.000,328.757,4.90,0.000,77.775,3.92,0.000,82.189,1.96,0.000,246.568,4.90,0.000,246.568,3.92,0.000,205.473,3.92,0.000,287.662,5.88,0.000,205.473,4.90,0.000,205.473,6.86,0.000,97.600,3.92,0.000,100.168,1.96
0.8164,0.000,14098.186,9.45,19.24,0.00,0.000,720.382,13.74,0.000,411.647,9.81,0.000,452.812,9.81,0.000,452.812,7.85,0.000,329.318,7.85,0.000,493.976,6.87,0.000,414.220,5.89,0.000,617.470,9.81,0.000,617.470,11.78,0.000,493.976,6.87,0.000,535.141,8.83,0.000,411.647,8.83,0.000,493.976,8.83,0.000,766.693,15.70,0.000,617.470,10.80,0.000,329.318,4.91,0.000,493.976,16.68,0.000,329.318,5.89,0.000,452.812,8.83,0.000,411.647,7.85,0.000,416.069,14.72,0.000,493.976,7.85,0.000,370.482,7.85,0.000,370.482,4.91,0.000,782.129,12.76,0.000,452.812,8.83,0.000,246.988,8.83,0.000,452.812,12.76,0.000,355.046,11.78,0.000,311.308,5.89
0.9187,0.000,14958.377,9.22,23.12,0.00,0.000,327.788,6.84,0.000,614.603,5.86,0.000,778.497,12.70,0.000,286.815,5.86,0.000,368.762,4.88,0.000,655.576,9.77,0.000,368.762,4.88,0.000,737.523,10.75,0.000,286.815,4.88,0.000,543.379,8.79,0.000,450.709,7.82,0.000,530.095,11.72,0.000,450.709,7.82,0.000,468.635,6.84,0.000,699.111,13.68,0.000,368.762,5.86,0.000,527.534,18.56,0.000,409.735,8.79,0.000,614.603,8.79,0.000,778.497,11.72,0.000,532.656,18.56,0.000,491.682,8.79,0.000,491.682,6.84,0.000,573.629,10.75,0.000,389.248,5.86,0.000,491.682,8.79,0.000,450.709,12.70,0.000,409.735,9.77,0.000,327.788,8.79,0.000,532.656,8.79
1.0210,0.000,13160.653,8.02,23.14,0.00,0.000,328.162,3.91,0.000,369.182,6.85,0.000,574.284,7.82,0.000,656.324,9.78,0.000,369.182,4.89,0.000,451.223,6.85,0.000,312.779,4.89,0.000,369.182,8.80,0.000,369.182,6.85,0.000,358.447,6.85,0.000,287.142,2.93,0.000,535.827,7.82,0.000,328.162,4.89,0.000,410.203,8.80,0.000,530.700,9.78,0.000,328.162,4.89,0.000,251.249,8.80,0.000,533.263,8.80,0.000,551.210,9.78,0.000,533.263,5.87,0.000,389.692,10.76,0.000,287.142,3.91,0.000,483.310,9.78,0.000,369.182,5.87,0.000,599.921,8.80,0.000,451.223,5.87,0.000,451.223,11.74,0.000,697.344,22.49,0.000,410.203,11.74,0.000,574.284,9.78
