time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1025,0.000,0.315,0.07,76.02,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.315,1.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.2055,0.000,0.000,0.00,87.94,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.3105,0.000,0.000,0.00,86.06,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.4128,0.000,0.000,0.00,83.50,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.5151,0.000,7871.252,6.55,83.67,0.00,0.000,327.969,5.86,0.000,81.992,2.93,0.000,204.981,6.84,0.000,245.977,5.86,0.000,286.973,6.84,0.000,286.973,6.84,0.000,245.977,5.86,0.000,368.965,7.82,0.000,450.957,8.80,0.000,245.977,6.84,0.000,163.984,5.86,0.000,245.977,5.86,0.000,163.984,4.89,0.000,327.969,8.80,0.000,286.973,4.89,0.000,245.977,6.84,0.000,286.973,6.84,0.000,245.977,4.89,0.000,286.973,10.75,0.000,204.981,6.84,0.000,81.992,3.91,0.000,204.981,4.89,0.000,245.977,3.91,0.000,122.988,4.89,0.000,204.981,5.86,0.000,327.969,7.82,0.000,532.949,10.75,0.000,245.977,7.82,0.000,450.957,9.77,0.000,245.977,5.86
0.6175,0.040,22629.046,13.31,81.48,0.00,0.000,655.110,9.76,0.000,696.054,10.74,0.000,859.832,18.55,0.000,900.776,12.69,0.000,491.333,8.79,0.000,614.166,6.83,0.000,655.110,9.76,0.000,655.110,9.76,0.000,583.457,11.71,0.000,946.839,15.62,0.000,1023.609,23.43,0.000,905.894,21.48,0.000,900.776,14.64,0.000,409.444,5.86,0.000,818.888,14.64,0.000,1064.554,16.60,0.000,831.683,24.40,0.000,818.888,12.69,0.000,696.054,16.60,0.000,696.054,8.79,0.000,450.388,5.86,0.000,1023.609,21.48,0.040,895.258,15.62,0.000,655.110,8.79,0.000,532.277,9.76,0.000,818.888,12.69,0.000,941.721,15.62,0.000,573.221,13.67,0.000,736.999,8.79,0.000,777.943,13.67
0.7216,0.000,8681.700,5.09,78.77,0.00,0.000,282.237,6.73,0.000,322.557,4.81,0.000,403.196,8.65,0.000,362.876,7.69,0.000,322.557,5.77,0.000,120.959,1.92,0.000,161.278,5.77,0.000,362.876,6.73,0.000,110.879,2.88,0.000,236.877,4.81,0.000,322.557,5.77,0.000,277.197,4.81,0.000,201.598,2.88,0.000,322.557,5.77,0.000,403.196,4.81,0.000,120.959,0.96,0.000,148.678,0.96,0.000,362.876,6.73,0.000,241.917,5.77,0.000,604.793,10.57,0.000,201.598,1.92,0.000,322.557,4.81,0.000,489.268,9.61,0.000,322.557,5.77,0.000,241.917,2.88,0.000,322.557,5.77,0.000,161.278,3.85,0.000,241.917,5.77,0.000,241.917,2.88,0.000,443.515,4.81
0.8255,0.000,4.954,0.26,81.64,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.704,0.96,0.000,0.837,0.96,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.586,0.96,0.000,0.000,0.00,0.000,0.709,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.704,0.96,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.680,0.00,0.000,0.734,3.85,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.9278,0.000,0.000,0.00,82.32,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
1.0300,0.000,5253.325,4.37,74.87,0.00,0.000,205.208,3.91,0.000,164.166,3.91,0.000,164.166,4.89,0.000,246.250,3.91,0.000,123.125,4.89,0.000,205.208,5.87,0.000,123.125,3.91,0.000,82.083,2.94,0.000,246.250,6.85,0.000,246.250,3.91,0.000,287.291,5.87,0.000,41.042,0.00,0.000,164.166,3.91,0.000,205.208,4.89,0.000,82.083,3.91,0.000,82.083,2.94,0.000,123.125,3.91,0.000,287.291,5.87,0.000,369.374,12.72,0.000,205.208,4.89,0.000,164.166,3.91,0.000,82.083,0.98,0.000,164.166,3.91,0.000,369.374,6.85,0.000,41.042,1.96,0.000,164.166,2.94,0.000,123.125,3.91,0.000,164.166,5.87,0.000,164.166,4.89,0.000,164.166,1.96
1.1323,0.000,27229.540,15.61,63.09,0.00,0.000,902.060,14.66,0.000,369.025,6.84,0.000,1025.068,16.62,0.000,1312.088,23.46,0.000,902.060,14.66,0.000,1107.074,16.62,0.000,1107.074,16.62,0.000,984.066,14.66,0.000,1215.307,18.57,0.000,1148.077,18.57,0.000,794.428,11.73,0.000,738.049,12.71,0.000,943.063,15.64,0.000,891.810,14.66,0.000,533.036,7.82,0.000,1148.077,20.53,0.000,1025.068,15.64,0.000,615.041,9.78,0.000,979.501,31.28,0.000,943.063,14.66,0.000,740.612,12.71,0.000,861.057,14.66,0.000,1107.074,16.62,0.000,820.055,13.69,0.000,697.047,8.80,0.000,1066.071,16.62,0.000,574.038,9.78,0.000,984.066,31.28,0.000,835.431,15.64,0.000,861.057,12.71
1.2346,0.000,8200.159,4.73,43.91,0.00,0.000,287.046,4.89,0.000,205.033,1.96,0.000,369.059,7.82,0.000,246.040,3.91,0.000,246.040,3.91,0.000,410.066,6.84,0.000,166.589,2.93,0.000,246.040,3.91,0.000,383.836,5.87,0.000,492.079,4.89,0.000,394.689,7.82,0.000,246.040,4.89,0.000,246.040,4.89,0.000,215.285,1.96,0.000,369.059,6.84,0.000,205.033,3.91,0.000,205.033,2.93,0.000,205.033,2.93,0.000,209.598,4.89,0.000,287.046,2.93,0.000,407.503,3.91,0.000,205.033,3.91,0.000,287.046,5.87,0.000,205.033,4.89,0.000,205.033,2.93,0.000,164.026,3.91,0.000,287.046,5.87,0.000,492.079,14.67,0.000,230.662,3.91,0.000,82.013,0.98
1.3369,0.000,3933.709,2.44,29.43,0.00,0.000,245.971,3.91,0.000,81.990,1.95,0.000,40.995,0.00,0.000,245.971,3.91,0.000,122.985,2.93,0.000,327.961,4.89,0.000,120.423,1.95,0.000,40.995,0.98,0.000,122.985,1.95,0.000,122.985,1.95,0.000,0.000,0.00,0.000,163.980,0.98,0.000,164.721,2.93,0.000,122.985,1.95,0.000,204.976,3.91,0.000,81.990,0.98,0.000,81.990,0.00,0.000,40.995,0.98,0.000,40.995,1.95,0.000,245.971,3.91,0.000,122.985,9.77,0.000,81.990,0.98,0.000,245.971,2.93,0.000,286.966,9.77,0.000,122.985,0.00,0.000,0.000,0.00,0.000,81.990,0.98,0.000,40.995,1.95,0.000,245.971,2.93,0.000,81.990,1.95
1.4384,0.000,3213.374,2.36,38.26,0.00,0.000,247.906,4.93,0.000,41.318,0.99,0.000,82.635,1.97,0.000,82.635,1.97,0.000,165.271,1.97,0.000,0.000,0.99,0.000,41.318,0.99,0.000,82.635,1.97,0.000,123.953,1.97,0.000,82.635,2.96,0.000,82.635,1.97,0.000,82.635,0.99,0.000,41.318,0.99,0.000,165.271,3.94,0.000,206.588,2.96,0.000,165.271,2.96,0.000,165.271,1.97,0.000,123.953,2.96,0.000,115.157,3.94,0.000,41.318,0.99,0.000,41.318,0.99,0.000,165.271,1.97,0.000,49.065,1.97,0.000,41.318,0.99,0.000,247.906,4.93,0.000,41.318,1.97,0.000,123.953,2.96,0.000,156.918,4.93,0.000,41.318,0.99,0.000,165.271,4.93
1.5398,0.000,3399.506,2.63,39.08,0.00,0.000,330.741,4.93,0.000,165.371,1.97,0.000,82.685,1.97,0.000,165.371,3.94,0.000,41.343,0.00,0.000,248.056,4.93,0.000,124.028,3.94,0.000,82.685,1.97,0.000,82.685,1.97,0.000,82.685,2.96,0.000,165.371,3.94,0.000,41.343,1.97,0.000,41.343,0.99,0.000,41.343,1.97,0.000,248.056,3.94,0.000,82.685,1.97,0.000,82.685,2.96,0.000,0.000,0.00,0.000,215.515,7.89,0.000,82.685,2.96,0.000,82.685,3.94,0.000,165.371,0.99,0.000,116.276,1.97,0.000,82.685,2.96,0.000,41.343,0.99,0.000,0.000,0.00,0.000,124.028,1.97,0.000,132.385,2.96,0.000,82.685,2.96,0.000,165.371,2.96
1.6417,0.000,1317.863,1.01,46.08,0.00,0.000,41.183,0.98,0.000,41.183,0.98,0.000,41.183,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.183,0.98,0.000,82.366,1.96,0.000,82.366,1.96,0.000,41.183,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.183,0.00,0.000,41.183,0.98,0.000,41.183,0.98,0.000,0.000,0.00,0.000,41.183,0.98,0.000,0.000,0.00,0.000,41.183,1.96,0.000,82.366,2.95,0.000,0.000,0.00,0.000,82.366,0.98,0.000,82.366,0.00,0.000,123.550,2.95,0.000,41.183,0.98,0.000,41.183,0.98,0.000,123.550,3.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.183,1.96,0.000,123.550,1.96
1.7455,0.000,1292.485,1.00,66.04,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.390,1.93,0.000,40.390,1.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,80.780,0.96,0.000,40.390,0.96,0.000,40.390,1.93,0.000,80.780,1.93,0.000,80.780,1.93,0.000,0.000,0.00,0.000,40.390,0.96,0.000,80.780,2.89,0.000,80.780,1.93,0.000,40.390,0.96,0.000,40.390,0.96,0.000,40.390,1.93,0.000,0.000,0.00,0.000,80.780,0.96,0.000,40.390,0.00,0.000,80.780,0.96,0.000,40.390,0.96,0.000,40.390,0.00,0.000,121.170,1.93,0.000,80.780,1.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,80.780,1.93
1.8480,0.000,1310.153,1.46,76.20,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.942,1.95,0.000,122.827,3.90,0.000,40.942,1.95,0.000,122.827,3.90,0.000,0.000,0.00,0.000,40.942,1.95,0.000,122.827,3.90,0.000,81.885,2.93,0.000,0.000,0.00,0.000,40.942,0.00,0.000,40.942,0.98,0.000,81.885,2.93,0.000,40.942,0.98,0.000,40.942,1.95,0.000,40.942,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,40.942,0.98,0.000,81.885,2.93,0.000,81.885,3.90,0.000,0.000,0.00,0.000,40.942,0.98,0.000,40.942,0.98,0.000,122.827,4.88,0.000,40.942,1.95,0.000,0.000,0.00
1.9502,0.000,1312.857,1.27,78.63,0.00,0.000,41.027,1.96,0.000,0.000,0.00,0.000,82.054,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,123.080,3.91,0.000,41.027,1.96,0.000,82.054,1.96,0.000,41.027,0.98,0.000,41.027,1.96,0.000,82.054,1.96,0.000,82.054,0.98,0.000,41.027,0.98,0.000,82.054,0.98,0.000,82.054,2.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,123.080,1.96,0.000,0.000,0.00,0.000,82.054,2.93,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.027,1.96,0.000,0.000,0.00,0.000,82.054,2.93,0.000,0.000,0.00,0.000,41.027,0.98,0.000,82.054,3.91,0.000,41.027,1.96,0.000,0.000,0.00
2.0525,0.000,6559.101,4.40,82.86,0.00,0.000,122.983,1.95,0.000,204.972,3.91,0.000,245.966,4.89,0.000,245.966,5.86,0.000,204.972,3.91,0.000,245.966,2.93,0.000,368.949,7.82,0.000,368.949,5.86,0.000,163.978,3.91,0.000,163.978,3.91,0.000,122.983,1.95,0.000,327.955,5.86,0.000,163.978,4.89,0.000,368.949,5.86,0.000,204.972,2.93,0.000,40.994,0.98,0.000,163.978,2.93,0.000,204.972,3.91,0.000,368.949,11.73,0.000,204.972,4.89,0.000,0.000,0.00,0.000,245.966,3.91,0.000,163.978,3.91,0.000,286.961,5.86,0.000,163.978,2.93,0.000,81.989,2.93,0.000,245.966,3.91,0.000,327.955,9.77,0.000,327.955,5.86,0.000,204.972,1.95
2.1555,0.000,5212.044,3.27,83.21,0.00,0.000,407.191,5.82,0.000,81.438,0.97,0.000,122.157,2.91,0.000,122.157,1.94,0.000,81.438,2.91,0.000,40.719,0.97,0.000,40.719,0.00,0.000,203.595,2.91,0.000,122.157,0.97,0.000,162.876,3.88,0.000,203.595,1.94,0.000,122.157,1.94,0.000,203.595,2.91,0.000,122.157,0.97,0.000,203.595,8.74,0.000,407.191,6.80,0.000,122.157,3.88,0.000,244.315,3.88,0.000,244.315,7.77,0.000,203.595,3.88,0.000,122.157,0.97,0.000,203.595,2.91,0.000,162.876,1.94,0.000,162.876,1.94,0.000,162.876,2.91,0.000,244.315,3.88,0.000,40.719,0.97,0.000,285.034,8.74,0.000,162.876,3.88,0.000,203.595,3.88
2.2585,0.000,16939.787,9.38,77.26,0.00,0.000,488.648,8.74,0.000,692.251,10.68,0.000,895.854,13.59,0.000,285.044,4.85,0.000,407.206,5.83,0.000,570.089,7.77,0.000,162.883,1.94,0.000,570.089,9.71,0.000,773.692,11.65,0.000,610.810,7.77,0.000,651.530,7.77,0.000,488.648,7.77,0.000,651.530,7.77,0.000,773.692,10.68,0.000,570.089,9.71,0.000,366.486,7.77,0.000,407.206,7.77,0.000,407.206,6.80,0.000,529.368,18.45,0.000,651.530,9.71,0.000,325.765,5.83,0.000,692.251,10.68,0.000,732.972,12.62,0.000,692.251,9.71,0.000,855.133,17.48,0.000,325.765,4.85,0.000,325.765,4.85,0.000,692.251,19.42,0.000,732.972,10.68,0.000,610.810,8.74
2.3609,0.000,9181.977,6.03,77.73,0.00,0.000,533.599,7.82,0.000,286.913,3.91,0.000,368.888,5.86,0.000,245.925,2.93,0.000,245.925,3.91,0.000,204.938,0.98,0.000,450.863,8.79,0.000,245.925,3.91,0.000,163.950,2.93,0.000,327.901,6.84,0.000,122.963,1.95,0.000,450.863,7.82,0.000,368.888,5.86,0.000,40.988,0.98,0.000,532.838,8.79,0.000,368.888,7.82,0.000,204.938,2.93,0.000,204.938,1.95,0.000,0.000,0.00,0.000,368.888,35.18,0.000,491.851,6.84,0.000,327.901,4.89,0.000,245.925,4.89,0.000,450.863,7.82,0.000,368.888,4.89,0.000,450.863,6.84,0.000,368.888,6.84,0.000,327.901,8.79,0.000,204.938,3.91,0.000,204.938,3.91
