time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.0654,0.000,0.000,0.00,30.74,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.1693,0.000,34061.506,35.92,54.36,0.00,0.000,1454.260,39.49,0.000,1252.280,32.75,0.000,1126.042,43.34,0.000,1131.091,37.56,0.000,1131.091,21.19,0.000,1090.695,50.08,0.000,848.319,20.23,0.000,1171.488,26.00,0.000,1080.596,47.19,0.000,1373.468,27.93,0.000,1030.101,46.23,0.000,1040.200,42.38,0.000,1171.488,36.60,0.000,1131.091,35.64,0.000,1454.260,41.41,0.000,1224.507,49.12,0.000,929.111,21.19,0.000,929.111,39.49,0.000,1373.468,39.49,0.000,1575.449,40.45,0.000,1009.903,39.49,0.000,969.507,32.75,0.000,1211.884,35.64,0.000,1050.299,33.71,0.000,848.319,30.82,0.000,1090.695,41.41,0.000,848.319,27.93,0.000,1333.072,35.64,0.000,1454.260,35.64,0.000,727.130,26.97
0.2713,0.000,22352.951,17.97,44.79,0.00,0.000,534.403,7.84,0.000,1051.704,26.46,0.000,827.297,26.46,0.000,452.187,6.86,0.000,1027.698,16.66,0.000,634.603,18.62,0.000,616.619,9.80,0.000,842.712,16.66,0.000,950.621,38.22,0.000,665.434,11.76,0.000,1014.089,37.24,0.000,801.604,23.52,0.000,739.942,14.70,0.000,534.403,9.80,0.000,477.880,9.80,0.000,1069.207,35.28,0.000,945.482,15.68,0.000,657.727,21.56,0.000,536.972,11.76,0.000,583.219,8.82,0.000,842.712,27.44,0.000,781.050,11.76,0.000,827.297,18.62,0.000,657.727,12.74,0.000,763.066,24.50,0.000,698.835,22.54,0.000,493.295,10.78,0.000,804.174,16.66,0.000,781.050,11.76,0.000,739.942,14.70
0.3749,0.000,25473.756,23.53,10.55,0.00,0.000,769.417,22.21,0.000,1272.211,25.10,0.000,931.399,32.83,0.000,728.921,17.38,0.000,688.425,12.55,0.000,630.213,28.96,0.000,526.443,12.55,0.000,951.647,18.34,0.000,1219.930,53.10,0.000,721.328,11.59,0.000,884.062,34.76,0.000,799.788,33.79,0.000,647.930,15.45,0.000,971.895,23.17,0.000,1068.072,23.17,0.000,837.357,28.96,0.000,971.895,25.10,0.000,1012.390,42.48,0.000,807.381,19.31,0.000,680.832,17.38,0.000,668.178,16.41,0.000,769.417,14.48,0.000,1047.824,23.17,0.000,931.399,19.31,0.000,868.125,34.76,0.000,971.895,34.76,0.000,647.930,14.48,0.000,827.629,18.34,0.000,769.417,13.52,0.000,850.408,18.34
0.4768,0.000,2634.505,2.36,2.38,0.00,0.000,0.000,0.00,0.000,164.657,3.93,0.000,82.328,2.94,0.000,82.328,1.96,0.000,123.492,3.93,0.000,0.000,0.00,0.000,164.657,3.93,0.000,41.164,1.96,0.000,41.164,0.98,0.000,123.492,1.96,0.000,205.821,4.91,0.000,41.164,1.96,0.000,123.492,1.96,0.000,41.164,1.96,0.000,0.000,0.00,0.000,41.164,2.94,0.000,0.000,0.00,0.000,82.328,2.94,0.000,123.492,2.94,0.000,123.492,2.94,0.000,164.657,2.94,0.000,82.328,2.94,0.000,82.328,1.96,0.000,123.492,1.96,0.000,41.164,1.96,0.000,123.492,2.94,0.000,123.492,3.93,0.000,82.328,1.96,0.000,164.657,3.93,0.000,41.164,1.96
0.5786,0.000,2636.531,2.55,2.61,0.00,0.000,123.587,3.93,0.000,41.196,1.96,0.000,41.196,0.98,0.000,41.196,0.00,0.000,123.587,1.96,0.000,82.392,3.93,0.000,82.392,2.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,205.979,4.91,0.000,82.392,1.96,0.000,123.587,5.89,0.000,247.175,4.91,0.000,82.392,2.95,0.000,41.196,1.96,0.000,123.587,4.91,0.000,0.000,0.00,0.000,82.392,3.93,0.000,41.196,0.98,0.000,82.392,3.93,0.000,205.979,4.91,0.000,123.587,2.95,0.000,82.392,2.95,0.000,164.783,2.95,0.000,205.979,5.89,0.000,0.000,0.00,0.000,0.000,0.00,0.000,41.196,1.96,0.000,82.392,1.96,0.000,82.392,0.98
0.6804,0.000,11367.232,9.26,8.04,0.00,0.000,329.504,5.89,0.000,329.504,6.87,0.000,288.316,9.82,0.000,411.880,8.84,0.000,501.978,9.82,0.000,581.780,27.50,0.000,288.316,7.86,0.000,576.631,9.82,0.000,447.919,15.71,0.000,288.316,6.87,0.000,370.692,12.77,0.000,370.692,10.80,0.000,411.880,6.87,0.000,453.068,7.86,0.000,329.504,4.91,0.000,269.894,7.86,0.000,399.008,7.86,0.000,659.007,26.51,0.000,349.856,6.87,0.000,247.128,3.93,0.000,576.631,8.84,0.000,329.504,5.89,0.000,123.564,2.95,0.000,329.504,5.89,0.000,370.692,11.78,0.000,288.316,9.82,0.000,288.316,5.89,0.000,453.068,8.84,0.000,329.504,6.87,0.000,373.266,5.89
0.7826,0.000,11000.003,7.40,17.68,0.00,0.000,369.382,6.85,0.000,328.339,4.89,0.000,492.509,14.68,0.000,328.339,5.87,0.000,402.728,6.85,0.000,282.166,7.83,0.000,287.297,3.91,0.000,123.127,1.96,0.000,333.469,8.81,0.000,369.382,5.87,0.000,451.466,12.72,0.000,533.551,17.61,0.000,328.339,6.85,0.000,205.212,3.91,0.000,369.382,6.85,0.000,469.823,11.74,0.000,341.165,3.91,0.000,574.594,20.55,0.000,513.270,6.85,0.000,246.254,1.96,0.000,451.466,4.89,0.000,574.594,9.79,0.000,328.339,4.89,0.000,410.424,5.87,0.000,410.424,11.74,0.000,410.424,11.74,0.000,246.254,1.96,0.000,246.254,2.94,0.000,123.127,1.96,0.000,448.901,5.87
0.8851,0.000,14396.558,9.82,19.58,0.00,0.000,449.986,6.83,0.000,490.894,11.70,0.000,528.806,14.63,0.000,531.802,8.78,0.000,490.894,4.88,0.000,531.802,14.63,0.000,490.894,8.78,0.000,245.447,5.85,0.000,449.986,13.65,0.000,490.894,8.78,0.000,327.263,10.73,0.000,368.170,11.70,0.000,409.078,7.80,0.000,490.894,7.80,0.000,163.631,2.93,0.000,654.525,20.48,0.000,490.894,8.78,0.000,409.078,11.70,0.000,531.802,7.80,0.000,490.894,8.78,0.000,449.986,7.80,0.000,613.617,9.75,0.000,613.617,10.73,0.000,613.617,9.75,0.000,531.802,13.65,0.000,245.447,6.83,0.000,572.710,8.78,0.000,449.986,7.80,0.000,572.710,8.78,0.000,695.433,13.65
0.9902,0.000,20433.917,14.02,23.49,0.00,0.000,758.181,15.22,0.000,678.373,10.47,0.000,521.678,15.22,0.000,638.469,10.47,0.000,598.564,10.47,0.000,598.564,17.13,0.000,798.086,9.51,0.000,798.086,15.22,0.000,758.181,22.83,0.000,558.660,10.47,0.000,678.373,23.78,0.000,917.799,25.69,0.000,598.564,9.51,0.000,758.181,12.37,0.000,478.851,3.81,0.000,798.086,24.74,0.000,638.469,6.66,0.000,638.469,22.83,0.000,718.277,9.51,0.000,558.660,8.56,0.000,718.277,9.51,0.000,758.181,13.32,0.000,638.469,12.37,0.000,598.564,12.37,0.000,798.086,22.83,0.000,718.277,24.74,0.000,877.894,14.27,0.000,518.756,6.66,0.000,638.469,12.37,0.000,678.373,7.61
