time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.0397,0.000,12.848,1.08,21.76,0.00,0.000,0.640,1.97,0.000,0.000,0.00,0.000,0.630,2.95,0.000,0.580,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.595,1.97,0.000,0.000,0.00,0.000,0.640,1.97,0.000,0.000,0.00,0.000,0.625,0.98,0.000,0.000,0.00,0.000,1.013,2.95,0.000,0.000,0.00,0.000,0.640,2.95,0.000,0.000,0.00,0.000,0.691,1.97,0.000,0.615,1.97,0.000,0.696,2.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.595,0.98,0.000,3.424,1.97,0.000,0.802,2.95,0.000,0.000,0.00,0.000,0.661,2.95,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.1462,0.000,28424.808,48.99,99.93,0.00,0.000,853.751,50.68,0.000,747.888,42.23,0.000,1008.664,49.74,0.000,1099.690,53.49,0.000,1259.600,41.29,0.000,981.872,54.43,0.000,1043.107,52.55,0.000,996.364,52.55,0.000,912.718,48.80,0.000,1180.875,43.17,0.000,829.073,46.92,0.000,853.674,46.92,0.000,942.240,47.86,0.000,922.559,45.99,0.000,1070.168,52.55,0.000,779.870,46.92,0.000,1003.667,48.80,0.000,772.489,40.35,0.000,1033.266,52.55,0.000,1025.885,55.37,0.000,875.816,51.62,0.000,824.153,47.86,0.000,1003.206,50.68,0.000,789.710,46.92,0.000,861.055,49.74,0.000,895.920,49.74,0.000,824.153,44.11,0.000,959.461,50.68,0.000,984.063,52.55,0.000,1089.850,52.55
0.2568,0.000,42280.115,87.19,96.02,0.00,0.000,1680.913,100.00,0.000,1505.539,85.92,0.000,1190.205,78.69,0.000,1443.895,81.40,0.000,1707.068,64.22,0.000,1730.518,91.35,0.000,1133.303,78.69,0.000,1503.168,85.02,0.000,1472.346,85.02,0.000,1138.045,52.46,0.000,1621.714,98.58,0.000,1382.251,88.63,0.000,1216.286,80.49,0.000,1197.318,76.88,0.000,1414.999,85.92,0.000,1244.737,85.92,0.000,1306.455,87.73,0.000,1491.610,86.83,0.000,1621.714,98.58,0.000,1621.640,100.00,0.000,1756.783,99.49,0.000,1102.296,98.58,0.000,1560.589,94.97,0.000,1363.283,98.58,0.000,1273.188,98.58,0.000,1379.472,94.06,0.000,1052.692,83.21,0.000,1005.273,79.59,0.000,1607.489,89.54,0.000,1555.328,86.83
0.3798,0.000,40272.070,93.51,95.10,0.00,0.000,1112.671,96.76,0.000,1266.143,84.56,0.000,1485.693,91.88,0.000,1189.407,77.25,0.000,1720.164,65.05,0.000,1543.245,99.20,0.000,1438.799,97.57,0.000,1381.934,97.57,0.000,1411.089,87.82,0.000,1353.537,52.04,0.000,1144.644,100.00,0.000,1374.852,95.95,0.000,1376.984,95.14,0.000,1317.300,91.88,0.000,1447.725,98.39,0.000,1402.563,98.39,0.000,1426.010,100.00,0.000,1506.742,100.00,0.000,1310.906,91.88,0.000,1396.234,97.57,0.000,1423.945,96.76,0.000,1146.943,100.00,0.000,1483.795,100.00,0.000,1144.644,100.00,0.000,1144.644,99.20,0.000,1129.724,99.20,0.000,1143.978,100.00,0.000,1133.920,99.20,0.000,1370.589,91.88,0.000,1543.245,100.00
0.4918,0.000,40405.578,97.77,95.46,0.00,0.000,1137.132,100.00,0.000,1424.924,99.97,0.000,1387.634,99.97,0.000,1429.604,99.97,0.000,1801.629,68.73,0.000,1429.604,99.97,0.000,1410.886,100.00,0.000,1291.813,100.00,0.000,1429.604,99.97,0.000,1612.107,65.16,0.000,1130.112,99.97,0.000,1279.785,99.97,0.000,1424.924,100.00,0.000,1420.245,99.97,0.000,1427.264,100.00,0.000,1275.179,99.97,0.000,1284.538,99.97,0.000,1420.245,99.97,0.000,1436.440,100.00,0.000,1441.303,100.00,0.000,1443.643,100.00,0.000,1132.452,99.97,0.000,1417.649,99.97,0.000,1131.721,99.97,0.000,1130.112,99.97,0.000,1134.792,99.97,0.000,1130.844,99.97,0.000,1132.525,99.97,0.000,1429.604,99.97,0.000,1427.264,99.97
0.6094,0.000,41127.617,97.71,96.02,0.00,0.000,1162.783,100.00,0.000,1452.705,100.00,0.000,1452.705,100.00,0.000,1455.072,100.00,0.000,1477.355,62.90,0.000,1455.455,100.00,0.000,1455.072,100.00,0.000,1350.308,100.00,0.000,1417.191,100.00,0.000,1673.444,68.85,0.000,1149.727,99.45,0.000,1430.074,100.00,0.000,1463.393,100.00,0.000,1457.300,100.00,0.000,1452.844,100.00,0.000,1417.191,100.00,0.000,1429.308,100.00,0.000,1414.858,100.00,0.000,1419.594,100.00,0.000,1455.316,100.00,0.000,1461.757,100.00,0.000,1151.886,100.00,0.000,1452.426,100.00,0.000,1141.197,100.00,0.000,1154.253,100.00,0.000,1161.217,100.00,0.000,1143.181,100.00,0.000,1156.656,100.00,0.000,1417.191,100.00,0.000,1446.159,100.00
0.7267,0.000,42515.617,99.02,96.60,0.06,0.000,1251.941,100.00,0.000,1515.418,100.00,0.000,1481.754,100.00,0.000,1399.062,100.00,0.000,2529.934,100.00,0.000,1479.066,100.00,0.000,1582.326,100.00,0.000,1314.030,100.00,0.000,1519.748,100.00,0.000,1691.837,75.88,0.000,1130.173,99.75,0.000,1199.351,98.90,0.000,1518.107,100.00,0.000,1477.285,100.00,0.000,1519.748,100.00,0.000,1276.875,100.00,0.000,1197.814,99.75,0.000,1441.631,100.00,0.000,1582.326,100.00,0.000,1582.815,100.00,0.000,1544.332,100.00,0.000,1127.938,99.75,0.000,1440.373,100.00,0.000,1128.497,98.90,0.000,1122.909,98.90,0.000,1204.519,100.00,0.000,1119.802,98.90,0.000,1203.786,100.00,0.000,1517.513,100.00,0.000,1414.707,99.75
0.8564,0.000,38639.283,88.93,69.20,6.25,0.000,1003.926,84.07,0.000,1344.507,89.47,0.000,1370.790,94.09,0.000,1439.437,96.41,0.000,1209.045,39.33,0.000,1356.669,90.24,0.000,1223.672,84.07,0.000,1330.512,85.61,0.000,1349.751,90.24,0.000,1223.198,46.28,0.000,1166.303,99.49,0.000,1465.595,98.72,0.000,1348.551,90.24,0.000,1318.223,91.01,0.000,1330.639,89.47,0.000,1369.148,89.47,0.000,1469.038,98.72,0.000,1441.270,96.41,0.000,1256.779,84.07,0.000,1257.221,84.84,0.000,1255.073,84.07,0.000,1182.067,99.49,0.000,1432.077,96.41,0.000,1181.087,99.49,0.000,1177.834,98.72,0.000,1071.593,89.47,0.000,1157.647,99.49,0.000,1075.163,90.24,0.000,1350.572,89.47,0.000,1481.896,98.72
0.9626,0.000,46337.409,96.58,34.97,12.68,0.000,1328.591,100.00,0.000,1597.210,100.00,0.000,1646.583,100.00,0.000,1592.118,100.00,0.000,1614.490,52.74,0.000,1623.439,100.00,0.000,1629.109,100.00,0.000,1681.105,100.00,0.000,1587.065,99.82,0.000,1562.649,46.14,0.000,1317.019,99.82,0.000,1737.807,99.82,0.000,1599.679,100.00,0.000,1609.553,99.82,0.000,1609.206,100.00,0.000,1747.758,100.00,0.000,1733.024,99.82,0.000,1601.839,100.00,0.000,1610.517,100.00,0.000,1612.176,100.00,0.000,1610.132,100.00,0.000,1312.391,99.82,0.000,1595.320,99.82,0.000,1313.856,99.82,0.000,1315.746,100.00,0.000,1325.312,100.00,0.000,1316.479,99.82,0.000,1328.900,100.00,0.000,1567.586,100.00,0.000,1610.749,100.00
1.0699,0.000,45248.899,96.69,35.53,13.24,0.000,1329.626,100.00,0.000,1566.260,98.80,0.000,1573.591,99.74,0.000,1575.003,99.74,0.000,1683.546,51.27,0.000,1542.780,99.74,0.000,1607.303,99.74,0.000,1588.251,99.74,0.000,1577.408,100.00,0.000,1979.206,60.59,0.000,1271.594,99.74,0.000,1505.784,99.74,0.000,1584.243,99.74,0.000,1585.808,100.00,0.000,1527.203,99.74,0.000,1573.094,98.80,0.000,1448.936,99.74,0.000,1573.552,98.80,0.000,1607.646,99.74,0.000,1556.410,99.74,0.000,1566.298,100.00,0.000,1248.228,99.74,0.000,1544.422,99.74,0.000,1324.281,99.74,0.000,1245.136,99.74,0.000,1317.027,98.80,0.000,1314.393,99.74,0.000,1290.072,99.74,0.000,1593.138,98.80,0.000,1548.660,99.74
