example,policy,input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s,eager_add_s,eager_result_limbs,eager_throughput_gb_s
bigint_add,random,34359738368,2147483648,3.11130318,3.25970429,,2147483648,9.8168414,8.63649273,2147483648,3.70520777
bigint_add,random,68719476736,4294967296,4.94659158,4.41511131,,4294967296,14.4956708,9.98166843,4294967296,6.41175375
bigint_add,random,137438953472,8589934592,9.87913444,8.57731805,,8589934592,14.9230796,18.6544943,8589934592,6.86161724
bigint_add,random,274877906944,17179869184,21.4566784,16.5631581,,17179869185,15.4559897,39.656813,17179869185,6.4553851
bigint_add,random,549755813888,34359738368,37.8103221,23.3067261,,34359738369,21.9679074,48.2700538,34359738369,10.6069905
bigint_add,random,1099511627776,68719476736,50.4509291,46.0860018,,68719476736,22.2193282,97.5993932,68719476736,10.4918685
bigint_add,round_robin,34359738368,2147483648,2.63530326,2.2202381,,2147483648,14.4128686,5.11056705,2147483648,6.26153609
bigint_add,round_robin,68719476736,4294967296,5.30309644,4.38107108,,4294967296,14.6082998,9.72749214,4294967296,6.57929084
bigint_add,round_robin,137438953472,8589934592,10.4499306,8.69008501,,8589934592,14.7294301,18.6883999,8589934592,6.84916852
bigint_add,round_robin,274877906944,17179869184,22.184742,16.7094406,,17179869185,15.3206805,39.5614942,17179869185,6.47093861
bigint_add,round_robin,549755813888,34359738368,42.8535968,23.1704205,,34359738369,22.0971389,48.7302048,34359738369,10.5068305
bigint_add,round_robin,1099511627776,68719476736,51.0924307,45.8972968,,68719476736,22.3106821,97.0503054,68719476736,10.551229
bigint_add,blocked,34359738368,2147483648,2.61974782,2.51309094,,2147483648,12.7333235,5.70072552,2147483648,5.6133206
bigint_add,blocked,68719476736,4294967296,5.83036527,5.23070353,,4294967296,12.2354478,11.3276628,4294967296,5.64988569
bigint_add,blocked,137438953472,8589934592,11.8512137,9.86124122,,8589934592,12.9801104,23.0187051,8589934592,5.56069507
bigint_add,blocked,274877906944,17179869184,27.6998558,20.2004709,,17179869185,12.6729719,47.0484275,17179869185,5.44120205
bigint_add,blocked,549755813888,34359738368,54.9998326,45.0550753,,34359738369,11.3638696,92.6460409,34359738369,5.52640993
