label,name,n,input_bytes,time_s,inmem_time_s,ratio
bellman_ford,bellman_ford_sparse,1073741824,68719476736,86.0875682,78.7659714,1.09295381
bigint_add,bigint_add,4294967296,68719476736,4.4024754,1.46133562,3.01263812
convex_hull,convex_hull,536870912,17179869184,2.03837158,0.700733474,2.90891138
fft,fft,4294967296,68719476736,21.0009509,15.3950907,1.36413298
filter,filter,8589934592,68719476736,10.7838254,2.10288571,5.12810817
group_by_index,group_by_index,8589934592,68719476736,5.47047895,4.28492819,1.27667926
histogram_by_index,histogram_by_index,8589934592,68719476736,1.08712295,0.463561071,2.34515583
kmp,kmp,68719476736,68719476736,4.06763822,4.26546518,0.953621246
kth_smallest,kth_smallest,8589934592,68719476736,4.46729129,1.80259069,2.4782616
linefit,linefit,4294967296,68719476736,2.17595599,0.912921205,2.38350909
map,map,8589934592,68719476736,6.78393556,1.52077791,4.46083252
pack,pack,8589934592,68719476736,5.05005028,1.27245992,3.96873033
primes,primes,68719476736,68719476736,8.58360352,12.1100938,0.708797443
rabin_karp,rabin_karp,68719476736,68719476736,5.56714078,5.44832359,1.02180803
random_shuffle,random_shuffle,8589934592,68719476736,9.95541732,19.1750041,0.519187233
reduce,reduce,8589934592,68719476736,1.08756469,0.456097258,2.38450171
reverse,reverse,8589934592,68719476736,2.35572625,0.944329565,2.49460182
scan,scan,8589934592,68719476736,7.0737953,1.98140072,3.57009828
sort / samplesort,samplesort,8589934592,68719476736,15.393776,47.1796167,0.326280226
tabulate,tabulate,8589934592,68719476736,6.83891356,1.3461759,5.08025256
