time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1003,0.000,9161.163,10.27,54.63,0.00,0.000,273.836,10.79,0.000,503.961,13.73,0.000,375.399,11.77,0.000,390.827,12.75,0.000,352.258,12.75,0.000,249.409,11.77,0.000,254.391,9.81,0.000,326.546,11.77,0.000,344.544,10.79,0.000,391.751,11.77,0.000,203.127,7.85,0.000,303.405,10.79,0.000,411.396,9.81,0.000,331.688,9.81,0.000,200.556,6.87,0.000,421.681,9.81,0.000,233.982,8.83,0.000,195.413,9.81,0.000,444.822,13.73,0.000,313.690,9.81,0.000,249.409,6.87,0.000,233.620,7.85,0.000,496.247,12.75,0.000,172.272,6.87,0.000,331.688,11.77,0.000,218.554,8.83,0.000,226.268,9.81,0.000,223.697,6.87,0.000,180.749,11.77,0.000,305.976,9.81
0.2044,0.000,36067.876,31.09,36.97,0.00,0.000,1142.070,34.58,0.000,1400.201,41.31,0.000,1203.770,34.58,0.000,1470.714,38.43,0.000,1145.848,32.66,0.000,1165.994,33.62,0.000,1040.234,30.74,0.000,768.096,11.53,0.000,1274.283,25.94,0.000,945.993,20.17,0.000,1050.150,30.74,0.000,1354.870,24.98,0.000,967.045,17.29,0.000,883.940,26.90,0.000,1249.100,24.98,0.000,1400.201,35.54,0.000,1301.985,34.58,0.000,1095.481,29.78,0.000,1135.774,28.82,0.000,1344.797,31.70,0.000,1004.820,24.98,0.000,1382.926,36.51,0.000,1165.994,26.90,0.000,1322.132,35.54,0.000,1407.756,39.39,0.000,1357.389,37.47,0.000,1228.953,33.62,0.000,1030.004,29.78,0.000,1555.590,42.27,0.000,1271.765,37.47
0.3090,0.000,37284.866,23.89,13.26,0.00,0.000,1483.077,25.80,0.000,1002.079,19.11,0.000,1082.246,21.02,0.000,1282.662,26.76,0.000,1402.911,26.76,0.000,1563.244,30.58,0.000,881.830,22.94,0.000,1202.495,20.07,0.000,1162.412,14.33,0.000,1122.329,19.11,0.000,1122.329,21.02,0.000,1282.662,21.98,0.000,961.996,17.20,0.000,1483.077,28.67,0.000,1407.921,21.02,0.000,1402.911,26.76,0.000,1162.412,25.80,0.000,1245.084,27.71,0.000,1162.412,23.89,0.000,1442.994,29.63,0.000,1362.828,24.85,0.000,1563.244,27.71,0.000,1282.662,28.67,0.000,1282.662,24.85,0.000,1122.329,21.98,0.000,1122.329,21.02,0.000,1042.162,19.11,0.000,1082.246,22.94,0.000,1362.828,32.49,0.000,1202.495,22.94
0.4117,0.000,0.000,0.00,2.69,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.5135,0.000,9233.155,6.29,5.80,0.00,0.000,329.664,5.89,0.000,206.040,3.93,0.000,247.248,6.88,0.000,414.655,4.91,0.000,206.040,4.91,0.000,247.248,3.93,0.000,164.832,3.93,0.000,329.664,7.86,0.000,370.871,7.86,0.000,206.040,4.91,0.000,288.456,4.91,0.000,412.079,5.89,0.000,453.287,6.88,0.000,206.040,3.93,0.000,412.079,7.86,0.000,453.287,8.84,0.000,206.040,4.91,0.000,329.664,7.86,0.000,535.703,9.82,0.000,247.248,4.91,0.000,329.664,7.86,0.000,206.040,4.91,0.000,164.832,3.93,0.000,329.664,6.88,0.000,288.456,7.86,0.000,412.079,9.82,0.000,206.040,3.93,0.000,288.456,7.86,0.000,618.119,10.81,0.000,123.624,3.93
0.6146,0.000,11943.567,6.63,9.82,0.00,0.000,414.797,5.93,0.000,248.878,3.96,0.000,580.716,9.89,0.000,329.245,6.92,0.000,331.838,6.92,0.000,331.838,4.94,0.000,290.358,4.94,0.000,248.878,4.94,0.000,539.236,7.91,0.000,414.797,5.93,0.000,539.236,7.91,0.000,373.317,6.92,0.000,539.236,8.90,0.000,290.358,4.94,0.000,539.236,10.88,0.000,539.236,7.91,0.000,414.797,5.93,0.000,580.716,8.90,0.000,331.838,3.96,0.000,207.399,1.98,0.000,290.358,3.96,0.000,414.797,5.93,0.000,373.317,7.91,0.000,373.317,7.91,0.000,456.277,5.93,0.000,290.358,5.93,0.000,580.716,9.89,0.000,414.797,8.90,0.000,207.399,3.96,0.000,456.277,7.91
0.7158,0.000,11936.740,6.39,8.90,0.00,0.000,414.470,6.92,0.000,373.023,6.92,0.000,248.682,1.98,0.000,414.470,8.89,0.000,290.129,4.94,0.000,870.387,14.82,0.000,290.129,5.93,0.000,290.129,3.95,0.000,248.682,2.96,0.000,207.235,1.98,0.000,290.129,3.95,0.000,497.364,4.94,0.000,663.152,10.87,0.000,248.682,3.95,0.000,455.917,7.91,0.000,331.576,3.95,0.000,621.705,9.88,0.000,207.235,4.94,0.000,248.682,3.95,0.000,663.152,9.88,0.000,290.129,5.93,0.000,455.917,7.91,0.000,455.917,6.92,0.000,373.023,4.94,0.000,455.917,6.92,0.000,621.705,10.87,0.000,331.576,4.94,0.000,290.129,4.94,0.000,248.682,5.93,0.000,538.811,8.89
0.8177,0.000,19360.822,11.25,12.17,0.00,0.000,535.085,10.79,0.000,707.444,13.74,0.000,617.406,16.68,0.000,753.750,12.76,0.000,493.925,8.83,0.000,782.048,10.79,0.000,288.123,5.89,0.000,1070.170,17.66,0.000,246.962,2.94,0.000,699.727,13.74,0.000,535.085,8.83,0.000,782.048,11.78,0.000,329.283,3.93,0.000,946.689,18.65,0.000,617.406,10.79,0.000,722.879,14.72,0.000,864.368,15.70,0.000,823.208,12.76,0.000,535.085,10.79,0.000,740.887,13.74,0.000,782.048,14.72,0.000,411.604,6.87,0.000,535.085,9.81,0.000,501.642,9.81,0.000,699.727,11.78,0.000,635.414,4.91,0.000,640.559,9.81,0.000,787.193,12.76,0.000,617.406,10.79,0.000,658.566,10.79
0.9199,0.000,9587.326,5.28,11.69,0.00,0.000,287.261,3.91,0.000,156.454,1.96,0.000,41.037,0.98,0.000,397.548,6.85,0.000,287.261,3.91,0.000,287.261,5.87,0.000,287.261,3.91,0.000,328.298,4.89,0.000,205.186,0.98,0.000,205.186,2.94,0.000,492.447,8.81,0.000,123.112,2.94,0.000,287.261,3.91,0.000,205.186,1.96,0.000,574.521,8.81,0.000,346.252,5.87,0.000,328.298,4.89,0.000,287.261,5.87,0.000,656.596,9.78,0.000,328.298,6.85,0.000,369.335,5.87,0.000,246.223,4.89,0.000,328.298,7.83,0.000,238.529,2.94,0.000,287.261,4.89,0.000,392.419,5.87,0.000,551.438,9.78,0.000,364.206,9.78,0.000,492.447,6.85,0.000,205.186,3.91
1.0218,0.000,25020.286,15.55,15.78,0.00,0.000,988.646,19.64,0.000,370.742,7.86,0.000,859.916,15.71,0.000,906.259,15.71,0.000,617.904,12.77,0.000,782.678,13.75,0.000,659.097,10.80,0.000,947.453,15.71,0.000,659.097,7.86,0.000,823.872,17.68,0.000,494.323,9.82,0.000,617.904,12.77,0.000,1029.840,23.57,0.000,929.471,17.68,0.000,617.904,12.77,0.000,1109.939,20.62,0.000,1029.840,23.57,0.000,700.291,14.73,0.000,1153.421,21.61,0.000,617.904,12.77,0.000,1112.227,22.59,0.000,988.646,15.71,0.000,741.485,13.75,0.000,906.259,14.73,0.000,782.678,12.77,0.000,865.065,12.77,0.000,1112.227,20.62,0.000,823.872,12.77,0.000,1112.227,19.64,0.000,659.097,13.75
