time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.1018,0.402,0.000,0.07,29.74,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.402,0.000,1.96,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.2044,0.000,34994.991,56.32,58.49,0.00,0.000,1186.498,57.55,0.000,1235.083,61.45,0.000,1260.655,61.45,0.000,1334.811,66.33,0.000,1063.757,49.75,0.000,1137.754,57.55,0.000,1155.813,59.50,0.000,859.189,38.04,0.000,1391.067,55.60,0.000,1227.412,52.67,0.000,1038.186,57.55,0.000,1022.843,47.80,0.000,1227.412,56.58,0.000,1467.780,63.40,0.000,1268.326,58.53,0.000,1186.498,55.60,0.000,1319.468,63.40,0.000,1168.599,60.48,0.000,1104.671,50.72,0.000,1249.747,62.43,0.000,1063.757,50.72,0.000,1022.843,52.67,0.000,1185.739,59.50,0.000,1120.014,57.55,0.000,1022.843,52.67,0.000,941.016,49.75,0.000,1022.843,51.70,0.000,1316.911,62.43,0.000,1145.585,56.58,0.000,1247.869,59.50
0.3086,0.000,43420.846,57.36,30.45,0.00,0.000,1449.238,53.75,0.000,1763.743,84.46,0.000,1295.760,56.63,0.000,1343.564,50.87,0.000,1207.698,43.19,0.000,1537.457,60.47,0.000,1559.944,66.23,0.000,1003.899,41.27,0.000,1441.690,54.71,0.000,1570.008,56.63,0.000,1514.655,56.63,0.000,1489.495,54.71,0.000,1328.468,49.91,0.000,971.191,26.87,0.000,1655.553,62.39,0.000,1046.672,43.19,0.000,1318.404,55.67,0.000,2070.700,92.14,0.000,1167.442,43.19,0.000,1575.708,71.02,0.000,1167.442,39.35,0.000,1288.212,54.71,0.000,1829.907,76.78,0.000,1635.425,63.35,0.000,1167.442,46.07,0.000,1419.046,52.79,0.000,1476.914,55.67,0.000,1844.256,75.82,0.000,1408.981,47.03,0.000,1871.933,85.42
0.4106,0.000,742.754,1.14,2.69,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,84.813,3.92,0.000,7.710,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,35.981,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,300.700,15.69,0.000,0.000,0.00,0.000,0.000,0.00,0.000,23.131,0.98,0.000,0.000,0.00,0.000,0.000,0.00,0.000,71.962,2.94,0.000,218.457,8.82,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.5123,0.000,2637.687,3.83,1.00,0.00,0.000,41.214,1.97,0.000,0.000,0.00,0.000,41.214,2.95,0.000,164.855,5.90,0.000,123.642,4.91,0.000,41.214,1.97,0.000,82.428,2.95,0.000,123.642,4.91,0.000,123.642,5.90,0.000,0.000,0.00,0.000,123.642,5.90,0.000,123.642,5.90,0.000,123.642,5.90,0.000,123.642,3.93,0.000,123.642,4.91,0.000,41.214,1.97,0.000,41.214,2.95,0.000,123.642,4.91,0.000,82.428,2.95,0.000,41.214,1.97,0.000,41.214,2.95,0.000,123.642,4.91,0.000,123.642,3.93,0.000,0.000,0.00,0.000,82.428,3.93,0.000,82.428,3.93,0.000,82.428,4.91,0.000,164.855,7.86,0.000,123.642,4.91,0.000,123.642,4.91
0.6139,0.000,12507.691,14.61,8.13,0.00,0.000,330.481,9.85,0.000,165.241,5.91,0.000,123.930,3.94,0.000,487.976,14.77,0.000,493.140,15.76,0.000,570.596,22.65,0.000,518.959,18.71,0.000,371.791,12.80,0.000,289.171,8.86,0.000,330.481,9.85,0.000,392.446,11.82,0.000,521.540,16.74,0.000,317.572,8.86,0.000,258.188,9.85,0.000,325.317,10.83,0.000,211.714,11.82,0.000,371.791,14.77,0.000,637.725,24.62,0.000,702.272,28.56,0.000,552.523,19.70,0.000,487.976,14.77,0.000,392.446,13.79,0.000,369.209,12.80,0.000,165.241,5.91,0.000,566.481,20.68,0.000,671.290,22.65,0.000,413.101,14.77,0.000,436.338,15.76,0.000,619.652,22.65,0.000,413.101,13.79
0.7160,0.000,16469.600,17.49,15.67,0.00,0.000,574.677,18.59,0.000,533.628,13.70,0.000,656.773,20.55,0.000,705.518,20.55,0.000,330.952,9.79,0.000,664.470,24.47,0.000,633.684,21.53,0.000,287.338,6.85,0.000,533.628,14.68,0.000,574.677,17.62,0.000,513.104,18.59,0.000,590.070,16.64,0.000,751.698,25.45,0.000,482.318,13.70,0.000,620.856,19.57,0.000,774.787,16.64,0.000,369.435,10.77,0.000,679.863,24.47,0.000,410.483,12.72,0.000,354.042,14.68,0.000,418.180,12.72,0.000,595.201,24.47,0.000,577.242,18.59,0.000,533.628,16.64,0.000,545.414,18.59,0.000,687.560,21.53,0.000,410.483,11.74,0.000,469.490,22.51,0.000,862.015,25.45,0.000,328.387,10.77
0.8178,0.000,7915.224,8.35,16.44,0.00,0.000,247.351,8.85,0.000,82.450,1.97,0.000,453.476,14.74,0.000,247.351,6.88,0.000,206.126,5.90,0.000,247.351,8.85,0.000,247.351,8.85,0.000,206.126,6.88,0.000,247.351,6.88,0.000,288.576,9.83,0.000,412.251,12.78,0.000,164.901,6.88,0.000,247.351,8.85,0.000,329.801,9.83,0.000,206.126,4.91,0.000,329.801,4.91,0.000,247.351,8.85,0.000,288.576,8.85,0.000,288.576,7.86,0.000,329.801,12.78,0.000,41.225,1.97,0.000,288.576,7.86,0.000,371.026,11.79,0.000,247.351,8.85,0.000,247.351,7.86,0.000,247.351,7.86,0.000,412.251,15.73,0.000,206.126,6.88,0.000,247.351,6.88,0.000,288.576,8.85
0.9201,0.000,22088.454,24.66,16.74,0.00,0.000,781.365,30.30,0.000,783.927,26.39,0.000,719.881,25.41,0.000,860.783,28.34,0.000,737.814,24.43,0.000,707.071,24.43,0.000,640.463,21.50,0.000,327.917,9.77,0.000,1042.674,37.14,0.000,737.814,23.45,0.000,1037.550,36.16,0.000,778.803,26.39,0.000,1106.720,41.05,0.000,863.344,25.41,0.000,566.169,17.59,0.000,563.768,16.61,0.000,819.793,30.30,0.000,901.772,30.30,0.000,607.159,16.61,0.000,589.226,21.50,0.000,686.577,22.48,0.000,750.623,28.34,0.000,450.886,15.64,0.000,655.834,17.59,0.000,742.937,27.36,0.000,922.267,29.32,0.000,361.221,10.75,0.000,876.154,31.27,0.000,696.824,20.52,0.000,771.118,23.45
1.0239,0.000,21130.610,24.03,13.73,0.00,0.000,563.288,20.24,0.000,740.105,26.98,0.000,583.496,20.24,0.000,636.541,23.13,0.000,687.060,23.13,0.000,904.292,32.76,0.000,823.462,30.83,0.000,740.105,26.02,0.000,628.963,21.20,0.000,722.226,24.09,0.000,714.846,22.16,0.000,808.306,32.76,0.000,968.586,35.65,0.000,765.365,23.13,0.000,613.807,20.24,0.000,656.591,10.60,0.000,651.697,23.13,0.000,626.634,23.13,0.000,636.541,19.27,0.000,780.520,26.02,0.000,836.091,28.91,0.000,593.600,20.24,0.000,709.794,26.02,0.000,889.137,30.83,0.000,785.572,29.87,0.000,548.132,16.38,0.000,762.839,28.91,0.000,591.074,19.27,0.000,606.229,19.27,0.000,555.710,16.38
