policy,input_bytes,n,build_s,add_s,inmem_add_s,result_limbs,throughput_gb_s,eager_add_s,eager_result_limbs,eager_throughput_gb_s
random,1073741824,67108864,2.28568846,0.548696613,,67108865,1.82250077,1.09747663,67108865,0.91118113
random,4294967296,268435456,0.787907957,1.53930511,,268435456,2.59857515,3.10566757,268435456,1.28796786
random,17179869184,1073741824,10.8263903,9.63785667,,1073741824,1.66012014,13.9878789,1073741824,1.14384747
random,68719476736,4294967296,37.8661565,37.9632014,,4294967296,1.68584307,91.0034701,4294967296,0.703269885
random,274877906944,17179869184,359.756007,205.266929,,17179869185,1.24715657,596.070769,17179869185,0.429479205
round_robin,1073741824,67108864,0.204132365,0.400060723,,67108865,2.49962054,0.786832322,67108865,1.27091881
round_robin,4294967296,268435456,1.03674879,1.52401155,,268435456,2.62465202,3.0618504,268435456,1.30639955
round_robin,17179869184,1073741824,11.2752058,10.4903383,,1073741824,1.52521296,25.620596,1073741824,0.624497573
round_robin,68719476736,4294967296,37.4997019,37.389986,,4294967296,1.71168826,96.7040762,4294967296,0.661812847
round_robin,274877906944,17179869184,150.538564,146.629987,,17179869185,1.74589117,364.29598,17179869185,0.702725294
blocked,1073741824,67108864,0.205417296,0.404089353,,67108865,2.47470019,0.794229122,67108865,1.25908251
blocked,4294967296,268435456,0.796847815,1.53318745,,268435456,2.60894388,3.10813691,268435456,1.2869446
blocked,17179869184,1073741824,6.09004142,10.4832708,,1073741824,1.52624122,25.2117688,1073741824,0.634624257
blocked,68719476736,4294967296,41.9473722,37.2186146,,4294967296,1.71956965,99.0564588,4294967296,0.646096183
blocked,274877906944,17179869184,256.936849,200.868476,,17179869185,1.27446578,536.645548,17179869185,0.477037405
