time_s,agg_read_mbps,agg_write_mbps,mean_util_pct,cpu_pct,iowait_pct,nvme0n1p1_read_mbps,nvme0n1p1_write_mbps,nvme0n1p1_util_pct,nvme10n1p1_read_mbps,nvme10n1p1_write_mbps,nvme10n1p1_util_pct,nvme11n1p1_read_mbps,nvme11n1p1_write_mbps,nvme11n1p1_util_pct,nvme12n1p1_read_mbps,nvme12n1p1_write_mbps,nvme12n1p1_util_pct,nvme13n1p1_read_mbps,nvme13n1p1_write_mbps,nvme13n1p1_util_pct,nvme14n1p1_read_mbps,nvme14n1p1_write_mbps,nvme14n1p1_util_pct,nvme15n1p1_read_mbps,nvme15n1p1_write_mbps,nvme15n1p1_util_pct,nvme17n1p1_read_mbps,nvme17n1p1_write_mbps,nvme17n1p1_util_pct,nvme18n1p1_read_mbps,nvme18n1p1_write_mbps,nvme18n1p1_util_pct,nvme19n1p1_read_mbps,nvme19n1p1_write_mbps,nvme19n1p1_util_pct,nvme1n1p1_read_mbps,nvme1n1p1_write_mbps,nvme1n1p1_util_pct,nvme20n1p1_read_mbps,nvme20n1p1_write_mbps,nvme20n1p1_util_pct,nvme21n1p1_read_mbps,nvme21n1p1_write_mbps,nvme21n1p1_util_pct,nvme22n1p1_read_mbps,nvme22n1p1_write_mbps,nvme22n1p1_util_pct,nvme23n1p1_read_mbps,nvme23n1p1_write_mbps,nvme23n1p1_util_pct,nvme24n1p1_read_mbps,nvme24n1p1_write_mbps,nvme24n1p1_util_pct,nvme25n1p1_read_mbps,nvme25n1p1_write_mbps,nvme25n1p1_util_pct,nvme26n1p1_read_mbps,nvme26n1p1_write_mbps,nvme26n1p1_util_pct,nvme27n1p1_read_mbps,nvme27n1p1_write_mbps,nvme27n1p1_util_pct,nvme28n1p1_read_mbps,nvme28n1p1_write_mbps,nvme28n1p1_util_pct,nvme29n1p1_read_mbps,nvme29n1p1_write_mbps,nvme29n1p1_util_pct,nvme2n1p1_read_mbps,nvme2n1p1_write_mbps,nvme2n1p1_util_pct,nvme30n1p3_read_mbps,nvme30n1p3_write_mbps,nvme30n1p3_util_pct,nvme3n1p1_read_mbps,nvme3n1p1_write_mbps,nvme3n1p1_util_pct,nvme4n1p1_read_mbps,nvme4n1p1_write_mbps,nvme4n1p1_util_pct,nvme5n1p1_read_mbps,nvme5n1p1_write_mbps,nvme5n1p1_util_pct,nvme6n1p1_read_mbps,nvme6n1p1_write_mbps,nvme6n1p1_util_pct,nvme7n1p1_read_mbps,nvme7n1p1_write_mbps,nvme7n1p1_util_pct,nvme8n1p1_read_mbps,nvme8n1p1_write_mbps,nvme8n1p1_util_pct,nvme9n1p1_read_mbps,nvme9n1p1_write_mbps,nvme9n1p1_util_pct
0.0431,0.000,0.000,0.00,9.49,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00,0.000,0.000,0.00
0.1447,0.000,24320.793,54.19,94.91,0.00,0.000,613.923,56.09,0.000,742.899,44.28,0.000,962.157,55.10,0.000,838.341,51.17,0.000,1421.310,56.09,0.000,962.157,56.09,0.000,992.064,61.99,0.000,928.624,64.94,0.000,882.193,53.14,0.000,1073.076,46.25,0.000,631.980,50.18,0.000,611.344,52.15,0.000,693.888,47.23,0.000,858.977,53.14,0.000,905.045,57.07,0.000,652.616,56.09,0.000,613.923,54.12,0.000,691.309,49.20,0.000,789.330,58.06,0.000,1091.133,64.94,0.000,760.956,57.07,0.000,660.355,51.17,0.000,913.147,56.09,0.000,704.206,53.14,0.000,603.605,51.17,0.000,670.673,57.07,0.000,768.694,55.10,0.000,742.899,58.06,0.000,838.341,54.12,0.000,701.627,45.26
0.2601,0.000,39371.062,95.87,94.57,0.00,0.000,1074.744,96.21,0.000,1436.022,97.08,0.000,1513.276,99.68,0.000,1190.626,84.08,0.000,1501.915,60.67,0.000,1374.673,99.68,0.000,1368.779,96.21,0.000,1222.436,97.08,0.000,1508.732,99.68,0.000,1867.737,70.21,0.000,1113.371,100.00,0.000,1242.886,100.00,0.000,1436.022,99.68,0.000,1445.111,100.00,0.000,1281.833,91.88,0.000,1238.342,99.68,0.000,1254.247,99.68,0.000,1390.578,99.68,0.000,1333.773,97.08,0.000,1354.223,97.08,0.000,1351.951,96.21,0.000,1115.644,100.00,0.000,1397.040,99.68,0.000,1117.916,100.00,0.000,1122.460,100.00,0.000,1086.105,98.81,0.000,1122.460,99.68,0.000,1108.827,98.81,0.000,1406.483,98.81,0.000,1392.850,98.81
0.3706,0.000,43207.939,98.72,90.14,0.00,0.000,1247.963,100.00,0.000,1525.552,100.00,0.000,1503.494,100.00,0.000,1499.454,100.00,0.000,2057.004,85.08,0.000,1523.179,100.00,0.000,1566.552,100.00,0.000,1333.375,100.00,0.000,1480.473,100.00,0.000,2038.023,78.74,0.000,1188.649,99.56,0.000,1312.022,100.00,0.000,1508.944,100.00,0.000,1501.826,100.00,0.000,1480.473,100.00,0.000,1323.551,100.00,0.000,1316.767,100.00,0.000,1497.081,100.00,0.000,1525.552,100.00,0.000,1537.415,100.00,0.000,1539.787,100.00,0.000,1191.022,99.56,0.000,1497.452,100.00,0.000,1183.904,98.65,0.000,1212.375,100.00,0.000,1225.609,100.00,0.000,1193.394,100.00,0.000,1210.002,100.00,0.000,1475.728,100.00,0.000,1511.316,100.00
0.4867,0.000,39925.584,98.12,93.75,0.07,0.000,1119.476,100.00,0.000,1415.144,100.00,0.000,1399.662,99.87,0.000,1401.602,99.87,0.000,1823.662,72.32,0.000,1421.915,99.01,0.000,1378.397,100.00,0.000,1227.812,100.00,0.000,1401.602,99.87,0.000,1787.550,75.77,0.000,1126.247,100.00,0.000,1199.035,99.87,0.000,1415.144,99.87,0.000,1374.518,99.87,0.000,1432.495,100.00,0.000,1234.901,100.00,0.000,1199.035,99.87,0.000,1415.144,99.87,0.000,1412.887,100.00,0.000,1412.887,100.00,0.000,1416.766,100.00,0.000,1113.481,100.00,0.000,1404.846,99.87,0.000,1126.247,100.00,0.000,1106.357,99.01,0.000,1124.730,100.00,0.000,1113.586,99.87,0.000,1114.997,99.87,0.000,1394.831,100.00,0.000,1410.630,99.01
0.6055,0.000,39933.375,98.52,96.82,0.13,0.000,1109.506,100.00,0.000,1400.499,100.00,0.000,1417.642,100.00,0.000,1415.090,100.00,0.000,2033.226,80.85,0.000,1419.505,100.00,0.000,1379.768,100.00,0.000,1130.306,100.00,0.000,1410.675,100.00,0.000,1781.556,76.64,0.000,1109.782,100.00,0.000,1203.088,100.00,0.000,1419.505,100.00,0.000,1379.768,100.00,0.000,1412.537,99.37,0.000,1175.700,99.37,0.000,1191.567,100.00,0.000,1415.090,100.00,0.000,1415.090,100.00,0.000,1379.768,100.00,0.000,1414.055,100.00,0.000,1114.197,100.00,0.000,1416.056,100.00,0.000,1114.473,100.00,0.000,1116.784,100.00,0.000,1094.259,100.00,0.000,1111.782,99.37,0.000,1117.267,100.00,0.000,1416.642,100.00,0.000,1418.194,100.00
0.7251,0.000,42304.642,92.66,50.41,9.99,0.000,1173.302,91.10,0.000,1456.375,93.61,0.000,1485.439,96.11,0.000,1483.248,96.11,0.000,1437.239,50.98,0.000,1481.057,95.28,0.000,1443.503,91.93,0.000,1371.443,92.77,0.000,1474.895,95.28,0.000,2090.131,62.68,0.000,1204.420,98.62,0.000,1414.131,97.78,0.000,1433.713,95.28,0.000,1498.584,95.28,0.000,1475.751,93.61,0.000,1379.453,94.44,0.000,1412.420,96.95,0.000,1515.461,96.95,0.000,1440.046,91.93,0.000,1435.048,91.93,0.000,1431.214,91.10,0.000,1245.568,98.62,0.000,1505.431,96.95,0.000,1236.531,98.62,0.000,1228.178,97.78,0.000,1188.399,93.61,0.000,1227.048,97.78,0.000,1195.348,94.44,0.000,1470.582,94.44,0.000,1470.684,97.78
0.8303,0.000,45221.799,96.16,35.37,13.49,0.000,1300.531,99.85,0.000,1536.152,99.85,0.000,1591.502,99.85,0.000,1525.673,99.85,0.000,1435.928,38.99,0.000,1558.082,99.85,0.000,1560.925,99.85,0.000,1633.765,100.00,0.000,1593.411,100.00,0.000,1822.332,49.45,0.000,1300.219,99.85,0.000,1672.367,99.85,0.000,1572.455,99.85,0.000,1575.532,99.85,0.000,1511.066,99.85,0.000,1632.870,99.85,0.000,1664.148,100.00,0.000,1580.946,99.85,0.000,1521.856,99.85,0.000,1573.039,99.85,0.000,1571.053,99.85,0.000,1296.519,99.85,0.000,1575.922,99.85,0.000,1301.115,99.85,0.000,1253.087,99.85,0.000,1313.774,99.85,0.000,1313.580,99.85,0.000,1310.970,99.85,0.000,1559.094,99.85,0.000,1563.885,99.85
0.9357,0.000,45695.179,96.07,32.50,14.47,0.000,1304.435,100.00,0.000,1609.106,100.00,0.000,1552.393,100.00,0.000,1612.060,99.65,0.000,1432.943,47.45,0.000,1622.011,99.65,0.000,1614.548,100.00,0.000,1720.977,99.65,0.000,1563.899,99.65,0.000,1579.720,44.60,0.000,1299.382,99.65,0.000,1738.663,99.65,0.000,1631.923,99.65,0.000,1505.087,94.90,0.000,1635.072,100.00,0.000,1740.490,100.00,0.000,1736.992,99.65,0.000,1559.196,99.65,0.000,1603.081,99.65,0.000,1598.222,100.00,0.000,1535.679,100.00,0.000,1297.632,99.65,0.000,1598.611,99.65,0.000,1293.279,100.00,0.000,1297.205,100.00,0.000,1304.668,100.00,0.000,1295.028,100.00,0.000,1302.180,99.65,0.000,1560.167,99.65,0.000,1550.527,100.00
1.0416,0.000,45355.496,95.76,35.55,13.24,0.000,1289.527,100.00,0.000,1613.368,100.00,0.000,1548.322,100.00,0.000,1554.316,100.00,0.000,1069.211,35.88,0.000,1536.991,100.00,0.000,1590.745,100.00,0.000,1847.568,100.00,0.000,1608.766,100.00,0.000,1504.815,41.54,0.000,1292.543,100.00,0.000,1839.563,100.00,0.000,1535.173,100.00,0.000,1504.815,95.36,0.000,1634.754,100.00,0.000,1720.104,100.00,0.000,1789.095,100.00,0.000,1627.871,100.00,0.000,1619.053,100.00,0.000,1565.608,100.00,0.000,1617.700,100.00,0.000,1291.074,100.00,0.000,1502.031,100.00,0.000,1292.118,100.00,0.000,1290.378,100.00,0.000,1293.278,100.00,0.000,1293.510,100.00,0.000,1291.576,100.00,0.000,1598.364,100.00,0.000,1593.259,100.00
