n,raw_read_s,eager_mr_s,delayed_mr_s,inmem_mr_s,eager_mmr_s,delayed_mmr_s,inmem_mmr_s,eager_fmm_s,delayed_fmm_s,inmem_fmm_s,agree
1073741824,0.194587474,1.08442753,0.192229663,0.060292902,1.85697489,0.189731576,0.060181501,1.82248924,0.697683705,0.193291281,1
2147483648,0.34497708,1.33238728,0.332097611,0.116436162,2.39271574,0.328549797,0.116111858,2.11953675,1.29565805,0.384865184,1
4294967296,0.587993327,2.0830104,0.568398682,0.228241542,3.65090937,0.576515169,0.231354502,4.11672839,2.54932899,0.764567862,1
8589934592,1.10419278,3.62944604,1.09208318,0.457441547,7.67340024,1.10251038,0.458578098,5.19680731,4.73074077,1.52985489,1
17179869184,2.15291072,7.42576395,2.11796021,0.910639846,14.2136807,2.12773602,0.912503983,9.54042948,10.6568541,,1
34359738368,4.29898969,15.344079,4.28148563,,30.6422335,4.24844784,,24.2989158,22.1902102,,1
68719476736,8.51668536,33.5849965,8.47169415,,49.3216382,8.43874076,,49.6738804,27.2002985,,1
137438953472,16.8843946,60.4931041,16.7709436,,107.150834,16.780409,,107.207772,43.4061007,,1
274877906944,33.7023058,155.342244,33.4417822,,252.538809,33.4450947,,170.090719,83.5505548,,1
549755813888,67.3343875,235.865083,66.9102409,,448.672169,66.9717707,,308.486565,168.851827,,1
