label,name,n,time_s,inmem_time_s,ratio
bellman_ford,bellman_ford_sparse,1073741824,85.8108641,78.8157674,1.0887525
bigint_add,bigint_add,8192000000,8.61384797,2.7743556,3.10481035
convex_hull,convex_hull,2147352576,7.32701001,2.48449529,2.94909394
fft,fft,3207069696,10.4318855,7.09715261,1.46986913
filter,filter,10923016192,14.0031394,2.67097622,5.24270463
group_by_index,group_by_index,10923016192,5.98976833,5.41538997,1.10606408
histogram_by_index,histogram_by_index,16384524288,2.06030229,0.886913575,2.32300232
kmp,kmp,262152388608,15.0718782,16.0402941,0.939626051
kth_smallest,kth_smallest,2904031232,1.26668167,0.489573833,2.58731489
linefit,linefit,16384524288,8.2150772,3.46497899,2.37088803
map,map,10923016192,7.01808733,1.92131842,3.65274556
pack,pack,8192000000,4.87813247,1.21758811,4.00638971
primes,primes,26214400000,3.24243376,4.80499999,0.674804114
rabin_karp,rabin_karp,262152388608,20.5132858,20.3815452,1.00646372
random_shuffle,random_shuffle,11677990912,14.1586402,30.3142838,0.467061676
reduce,reduce,16384524288,2.05202159,0.865341618,2.37134277
reverse,reverse,10923016192,3.0605822,1.19987196,2.55075733
scan,scan,10923016192,8.36268009,2.52233348,3.31545379
sort / samplesort,samplesort,10923016192,18.7819689,60.1702384,0.312147158
tabulate,tabulate,16384524288,13.3440281,2.57117391,5.18985824
zip,zip,6553600000,1.66892741,4.17300718,0.39993399
